datetime,actual,forecast,good/bad,O_-60,H_-60,L_-60,C_-60,O_-55,H_-55,L_-55,C_-55,O_-50,H_-50,L_-50,C_-50,O_-45,H_-45,L_-45,C_-45,O_-40,H_-40,L_-40,C_-40,O_-35,H_-35,L_-35,C_-35,O_-30,H_-30,L_-30,C_-30,O_-25,H_-25,L_-25,C_-25,O_-20,H_-20,L_-20,C_-20,O_-15,H_-15,L_-15,C_-15,O_-10,H_-10,L_-10,C_-10,O_-5,H_-5,L_-5,C_-5,O_0,H_0,L_0,C_0,O_5,H_5,L_5,C_5,O_10,H_10,L_10,C_10,O_15,H_15,L_15,C_15,O_20,H_20,L_20,C_20,O_25,H_25,L_25,C_25,O_30,H_30,L_30,C_30,O_35,H_35,L_35,C_35,O_40,H_40,L_40,C_40,O_45,H_45,L_45,C_45,O_50,H_50,L_50,C_50,O_55,H_55,L_55,C_55,O_60,H_60,L_60,C_60,O_65,H_65,L_65,C_65,O_70,H_70,L_70,C_70,O_75,H_75,L_75,C_75,O_80,H_80,L_80,C_80,O_85,H_85,L_85,C_85,O_90,H_90,L_90,C_90,O_95,H_95,L_95,C_95,O_100,H_100,L_100,C_100,O_105,H_105,L_105,C_105,O_110,H_110,L_110,C_110,O_115,H_115,L_115,C_115,O_120,H_120,L_120,C_120,O_125,H_125,L_125,C_125,O_130,H_130,L_130,C_130,O_135,H_135,L_135,C_135,O_140,H_140,L_140,C_140,O_145,H_145,L_145,C_145,O_150,H_150,L_150,C_150,O_155,H_155,L_155,C_155,O_160,H_160,L_160,C_160,O_165,H_165,L_165,C_165,O_170,H_170,L_170,C_170,O_175,H_175,L_175,C_175,O_180,H_180,L_180,C_180
2021.01.27 20:30,0.9%,1.0%,0.7%,0.76309,0.76373,0.76274,0.76356,0.76354,0.76392,0.76331,0.76385,0.76388,0.7639,0.76354,0.7639,0.76389,0.76389,0.7633,0.76334,0.76333,0.76333,0.7625,0.76252,0.76251,0.7627,0.76224,0.76238,0.76236,0.76336,0.76234,0.76325,0.76325,0.76364,0.76318,0.7632,0.76323,0.76382,0.76321,0.76375,0.76376,0.76433,0.76369,0.76422,0.76423,0.76425,0.76383,0.76406,0.76405,0.76438,0.76378,0.76424,0.76422,0.76423,0.76344,0.76399,0.76361,0.76408,0.76356,0.76399,0.764,0.76451,0.76398,0.76448,0.76446,0.76471,0.76416,0.76463,0.76464,0.76512,0.7646,0.76485,0.76484,0.76497,0.76467,0.76468,0.76467,0.76498,0.76452,0.76489,0.7649,0.76498,0.76463,0.76479,0.76479,0.76498,0.76461,0.76476,0.76475,0.76487,0.76462,0.76471,0.76472,0.76504,0.76459,0.76459,0.76458,0.76458,0.76421,0.76446,0.76448,0.76448,0.76403,0.7643,0.7643,0.76439,0.76391,0.76393,0.76393,0.76396,0.76366,0.76372,0.7637,0.76381,0.76331,0.76335,0.76334,0.76337,0.76307,0.76311,0.7631,0.76381,0.76306,0.76368,0.76369,0.76372,0.76297,0.76301,0.763,0.76309,0.76273,0.76291,0.76291,0.76315,0.7627,0.76296,0.76297,0.76322,0.76291,0.76317,0.76321,0.76334,0.76295,0.76298,0.763,0.76317,0.76271,0.76308,0.76308,0.76335,0.76298,0.76315,0.76317,0.76326,0.76292,0.76292,0.7629,0.76303,0.76288,0.76302,0.76303,0.76323,0.76288,0.7631,0.76311,0.76317,0.76272,0.76275,0.76274,0.76289,0.76266,0.76281,0.76282,0.76286,0.76261,0.76266,0.76266,0.76277,0.76245,0.76245,0.76245,0.76267,0.76236,0.76256,0.76255,0.76273,0.7625,0.76257,0.76259,0.7626,0.76223,0.76236,0.76234,0.76257,0.76208,0.76255,0.76256,0.76265,0.76244,0.76256
2021.04.28 21:30,1.1%,1.4%,0.9%,0.78021,0.78038,0.78005,0.78005,0.78005,0.78015,0.78003,0.78009,0.78009,0.78015,0.78,0.78001,0.78001,0.78028,0.77997,0.78018,0.7802,0.78042,0.7802,0.78029,0.78029,0.78067,0.78027,0.78048,0.78048,0.78054,0.78025,0.78048,0.7805,0.78064,0.78049,0.78064,0.78063,0.7808,0.78057,0.78058,0.7806,0.78077,0.78027,0.78047,0.78047,0.78073,0.78044,0.78069,0.78068,0.78072,0.78051,0.78072,0.78071,0.78097,0.78071,0.78092,0.78088,0.78103,0.78081,0.78092,0.78093,0.78136,0.78093,0.78127,0.78128,0.78155,0.78122,0.78153,0.78155,0.78175,0.78148,0.78165,0.78162,0.78175,0.78124,0.78142,0.78142,0.78162,0.78115,0.7812,0.7812,0.7812,0.78068,0.78072,0.78074,0.78092,0.78074,0.78077,0.78077,0.78079,0.78049,0.78062,0.78064,0.78076,0.78038,0.78054,0.78053,0.78054,0.78009,0.78012,0.78013,0.78029,0.78001,0.78021,0.78023,0.78038,0.7801,0.78024,0.78025,0.78025,0.77999,0.78,0.78001,0.78008,0.77976,0.7798,0.77982,0.77986,0.77924,0.77927,0.77925,0.77926,0.77895,0.77903,0.77907,0.77916,0.7784,0.77854,0.77856,0.77874,0.77843,0.7787,0.7787,0.77889,0.7786,0.77882,0.77881,0.77901,0.77875,0.779,0.779,0.77911,0.77881,0.77897,0.77897,0.77901,0.77887,0.77888,0.77888,0.7789,0.77855,0.77856,0.77856,0.77863,0.77844,0.77854,0.77853,0.7786,0.77828,0.77851,0.7785,0.77853,0.7784,0.77847,0.77846,0.77846,0.77822,0.77832,0.7783,0.77863,0.77824,0.77851,0.77851,0.77866,0.77842,0.77865,0.77866,0.77866,0.77854,0.77858,0.77857,0.77877,0.77856,0.77866,0.77866,0.77882,0.77859,0.77879,0.7788,0.7788,0.77854,0.77855,0.77856,0.7786,0.77842,0.7786,0.77861,0.77865,0.77842,0.77861
2021.07.28 21:30,3.8%,3.7%,1.1%,0.73677,0.73692,0.73664,0.73673,0.73672,0.73682,0.73666,0.73678,0.73674,0.73677,0.73652,0.73664,0.73664,0.7371,0.73664,0.73704,0.73705,0.73722,0.73688,0.73695,0.73695,0.73736,0.73695,0.73724,0.73724,0.73727,0.73677,0.73684,0.73685,0.73703,0.73679,0.73695,0.73696,0.73698,0.73655,0.73656,0.73655,0.73665,0.73627,0.73655,0.73656,0.73664,0.73608,0.73618,0.73619,0.73639,0.73599,0.73638,0.73639,0.73647,0.73603,0.73632,0.73626,0.73653,0.73624,0.73632,0.7363,0.73655,0.73614,0.73651,0.73651,0.73655,0.73618,0.73649,0.73647,0.73647,0.73625,0.73638,0.73637,0.73658,0.73634,0.73641,0.7364,0.73654,0.73609,0.73614,0.73614,0.73633,0.73589,0.73612,0.73609,0.7362,0.73595,0.73619,0.7362,0.73623,0.73597,0.73601,0.73602,0.73625,0.73594,0.73617,0.73617,0.73638,0.73615,0.73634,0.73635,0.73652,0.73632,0.73647,0.73648,0.73738,0.73648,0.73714,0.73717,0.73725,0.73674,0.73723,0.73724,0.73737,0.73703,0.7373,0.73732,0.73759,0.73724,0.73728,0.73726,0.73738,0.73716,0.7373,0.73731,0.73739,0.73713,0.73735,0.73735,0.73792,0.73733,0.73762,0.73762,0.73768,0.73748,0.73754,0.73756,0.73758,0.73729,0.73744,0.73747,0.73764,0.7374,0.7376,0.73763,0.73763,0.73739,0.73739,0.73741,0.73788,0.73739,0.7376,0.7376,0.73771,0.7375,0.7376,0.73764,0.73783,0.73764,0.73775,0.73772,0.73816,0.73772,0.73795,0.73791,0.73791,0.73758,0.73764,0.73763,0.73772,0.73757,0.73759,0.73759,0.73762,0.73748,0.73757,0.73759,0.73768,0.73753,0.73757,0.73759,0.73789,0.73759,0.7378,0.73781,0.73791,0.73769,0.73791,0.7379,0.73795,0.73767,0.73771,0.73773,0.73789,0.7377,0.73778,0.73775,0.7379,0.73763,0.73789
2021.10.27 20:30,3.0%,3.1%,3.8%,0.75055,0.75059,0.75027,0.75059,0.75059,0.7507,0.75043,0.75049,0.75051,0.75058,0.75042,0.75045,0.75043,0.75045,0.75013,0.75032,0.75032,0.75032,0.74975,0.74985,0.74985,0.75001,0.74967,0.74995,0.74996,0.75074,0.74993,0.75068,0.75069,0.75075,0.7503,0.75033,0.75034,0.7504,0.74989,0.75005,0.75005,0.75029,0.75004,0.75024,0.75026,0.75029,0.74981,0.74987,0.74988,0.75005,0.74973,0.74984,0.74981,0.74996,0.7495,0.74964,0.74955,0.74966,0.74944,0.74964,0.74962,0.75003,0.74961,0.75,0.74996,0.75005,0.74946,0.74946,0.74944,0.74961,0.74939,0.74942,0.74943,0.74961,0.74931,0.74952,0.74956,0.74957,0.74929,0.74938,0.74938,0.74943,0.74873,0.74878,0.74879,0.74879,0.74793,0.74835,0.74837,0.74884,0.74835,0.74866,0.74866,0.74887,0.74856,0.74887,0.74886,0.74919,0.74881,0.74909,0.74909,0.74937,0.74873,0.74887,0.74887,0.74931,0.74872,0.74927,0.74928,0.7494,0.74902,0.74935,0.74934,0.74955,0.74928,0.7494,0.74941,0.74979,0.74933,0.74954,0.74954,0.7497,0.74946,0.74958,0.74958,0.74974,0.74949,0.74963,0.74964,0.74989,0.74957,0.74962,0.74961,0.75021,0.74952,0.75014,0.75017,0.75042,0.75013,0.75013,0.75014,0.75025,0.75005,0.75012,0.75011,0.75037,0.75002,0.75026,0.75025,0.75043,0.75017,0.75028,0.75027,0.75053,0.75016,0.75049,0.75049,0.75082,0.7504,0.75081,0.75084,0.75104,0.7507,0.75078,0.75078,0.75111,0.75078,0.751,0.75105,0.75108,0.7507,0.75082,0.75082,0.75083,0.75044,0.75055,0.75057,0.7508,0.75054,0.75076,0.75074,0.75079,0.75048,0.75052,0.75053,0.75059,0.75039,0.75051,0.75049,0.75065,0.75039,0.75046,0.75045,0.75051,0.7503,0.75035,0.75034,0.75051,0.75031,0.7505
2022.01.25 20:30,3.5%,3.2%,3.0%,0.71558,0.71594,0.7154,0.71585,0.71584,0.71593,0.71566,0.71589,0.71588,0.71592,0.71556,0.71566,0.71567,0.71573,0.71554,0.71556,0.71557,0.7157,0.71541,0.71547,0.71545,0.71555,0.71528,0.71537,0.71538,0.71562,0.71534,0.71555,0.71556,0.71586,0.71555,0.71559,0.7156,0.71572,0.71496,0.71502,0.71501,0.71533,0.71495,0.71512,0.71513,0.71544,0.71513,0.71541,0.71538,0.71566,0.71536,0.71561,0.71563,0.71566,0.71523,0.71555,0.71546,0.71557,0.71504,0.71555,0.71555,0.71566,0.71538,0.71543,0.71545,0.71572,0.71544,0.71567,0.71568,0.71573,0.71556,0.71563,0.71563,0.71598,0.71562,0.71596,0.71595,0.71609,0.7159,0.71601,0.716,0.71639,0.716,0.71623,0.71623,0.71641,0.71621,0.71639,0.71639,0.71643,0.71622,0.71629,0.71632,0.71652,0.71621,0.71639,0.71639,0.71639,0.71622,0.7163,0.71633,0.71633,0.71603,0.71616,0.71615,0.71616,0.71596,0.71597,0.71599,0.71602,0.71577,0.71587,0.71586,0.71592,0.71577,0.71582,0.71583,0.71585,0.71567,0.71567,0.71567,0.71573,0.71537,0.71544,0.71543,0.71561,0.71541,0.7156,0.71558,0.71593,0.71557,0.71588,0.71587,0.7159,0.71561,0.71563,0.71559,0.71574,0.71555,0.7157,0.71571,0.71577,0.71567,0.71575,0.71576,0.71577,0.71542,0.71547,0.71546,0.71581,0.71546,0.71581,0.71582,0.71586,0.71558,0.7156,0.71561,0.71568,0.71546,0.71552,0.71552,0.71562,0.71548,0.71562,0.7156,0.7157,0.71558,0.71563,0.71565,0.71582,0.71558,0.71577,0.71577,0.71581,0.71551,0.71554,0.71555,0.71572,0.7155,0.71571,0.71569,0.71597,0.71568,0.71592,0.7159,0.71601,0.71583,0.71601,0.71601,0.71609,0.71591,0.71601,0.71601,0.71607,0.7159,0.71604,0.71602,0.71611,0.71597,0.71607
2022.04.27 21:30,5.1%,4.6%,3.5%,0.711,0.71145,0.71098,0.71144,0.71144,0.71167,0.71144,0.71166,0.71167,0.71236,0.71164,0.71228,0.71234,0.71251,0.71218,0.71226,0.71225,0.71226,0.71124,0.71154,0.71152,0.71179,0.71139,0.71173,0.71172,0.71244,0.71166,0.71236,0.71241,0.71241,0.712,0.71206,0.71205,0.71213,0.71163,0.71169,0.7117,0.71242,0.71166,0.71239,0.71241,0.71245,0.71193,0.71205,0.71206,0.71211,0.71135,0.71159,0.71159,0.71166,0.71115,0.71125,0.71121,0.7113,0.71059,0.71125,0.71124,0.71143,0.71102,0.71112,0.71111,0.7119,0.71105,0.7119,0.71193,0.7123,0.71193,0.71225,0.71227,0.71241,0.71196,0.71222,0.71224,0.71243,0.71205,0.71217,0.71217,0.71217,0.71164,0.71174,0.71173,0.71223,0.71161,0.71193,0.71197,0.71197,0.71158,0.7116,0.71159,0.71171,0.71143,0.71152,0.71155,0.71163,0.71123,0.71134,0.71133,0.71138,0.71103,0.71118,0.71119,0.71168,0.71119,0.71168,0.71173,0.7121,0.71167,0.71176,0.71174,0.71177,0.71155,0.71172,0.71171,0.71176,0.71149,0.71173,0.71172,0.71203,0.7117,0.71189,0.71191,0.71206,0.71183,0.71206,0.71206,0.71208,0.71168,0.71171,0.71172,0.71209,0.71118,0.71119,0.71119,0.71146,0.70985,0.71012,0.71013,0.71022,0.70967,0.70973,0.70973,0.7106,0.70973,0.71054,0.71055,0.71072,0.71016,0.71026,0.71027,0.71034,0.70986,0.71006,0.71008,0.71043,0.71006,0.7101,0.71011,0.71018,0.7097,0.70981,0.70981,0.7099,0.70935,0.70935,0.7094,0.70957,0.70925,0.70931,0.70933,0.70943,0.70917,0.70924,0.70925,0.70943,0.70916,0.70921,0.70922,0.70938,0.70921,0.70925,0.70925,0.70925,0.70889,0.70904,0.70903,0.70911,0.70869,0.7087,0.7087,0.70886,0.70846,0.70883,0.70888,0.70934,0.70883,0.70906
2022.07.27 21:30,6.1%,5.9%,5.1%,0.69852,0.69896,0.6985,0.69895,0.69894,0.69908,0.69874,0.69875,0.69878,0.69897,0.69838,0.69839,0.6984,0.69865,0.69828,0.69851,0.69851,0.69883,0.69849,0.69853,0.69856,0.6987,0.69825,0.69842,0.69841,0.69917,0.69834,0.69906,0.69905,0.69939,0.69882,0.69904,0.69905,0.69914,0.69861,0.69881,0.69882,0.6992,0.69882,0.6992,0.69922,0.69922,0.69861,0.69871,0.69871,0.69873,0.69825,0.69859,0.69863,0.69973,0.69821,0.69904,0.69956,0.69974,0.69893,0.69904,0.69904,0.6992,0.69865,0.69898,0.69898,0.69967,0.69897,0.69952,0.69953,0.69973,0.69916,0.69938,0.69936,0.6996,0.69915,0.69935,0.69937,0.69941,0.69881,0.69889,0.69891,0.6991,0.69863,0.69867,0.69867,0.69869,0.69842,0.69856,0.69855,0.69857,0.69812,0.69815,0.69816,0.69847,0.69802,0.69805,0.69804,0.69831,0.69794,0.69826,0.69826,0.69841,0.69812,0.6984,0.69842,0.69871,0.6984,0.69864,0.69865,0.69877,0.69849,0.69853,0.69854,0.69877,0.69838,0.69874,0.69874,0.69882,0.69853,0.69867,0.69867,0.69898,0.69867,0.69895,0.69892,0.69916,0.69879,0.69913,0.69914,0.69959,0.69914,0.69955,0.69959,0.69973,0.69932,0.69949,0.69947,0.69948,0.69904,0.69907,0.6991,0.69931,0.69893,0.69927,0.69925,0.69945,0.69916,0.69929,0.69933,0.69933,0.69899,0.69915,0.69914,0.69928,0.69904,0.69919,0.69916,0.69928,0.69897,0.69913,0.69914,0.69914,0.69881,0.69898,0.69899,0.699,0.69887,0.6989,0.6989,0.69949,0.69884,0.69946,0.69948,0.69971,0.69937,0.69968,0.6997,0.69972,0.69901,0.69908,0.69908,0.69917,0.69878,0.69896,0.69895,0.69909,0.69884,0.69884,0.69886,0.69914,0.69886,0.69904,0.69903,0.69923,0.69892,0.69919,0.69917,0.69937,0.69871,0.69875
2022.10.26 20:30,7.3%,7.0%,6.1%,0.64854,0.64921,0.64853,0.649,0.649,0.64904,0.64885,0.64889,0.64891,0.64893,0.64881,0.64883,0.64883,0.64896,0.64875,0.64883,0.64883,0.64931,0.64878,0.64927,0.64927,0.64953,0.64924,0.64951,0.64951,0.64951,0.64822,0.64853,0.64852,0.64932,0.64837,0.64925,0.64925,0.64982,0.64925,0.64954,0.64957,0.6501,0.64956,0.65008,0.65009,0.65013,0.64982,0.64987,0.64987,0.64991,0.64932,0.64968,0.64969,0.64969,0.64905,0.64877,0.64927,0.64935,0.64852,0.64877,0.64876,0.64902,0.6482,0.64858,0.6486,0.64878,0.64839,0.64877,0.64878,0.64878,0.64807,0.6482,0.6482,0.64841,0.648,0.64827,0.6483,0.64911,0.6482,0.64884,0.64884,0.64927,0.64881,0.64889,0.64891,0.64901,0.64859,0.64893,0.64893,0.64902,0.64795,0.64886,0.64888,0.64909,0.64808,0.64808,0.64813,0.64877,0.648,0.64871,0.64877,0.64927,0.64857,0.64893,0.64894,0.64914,0.64879,0.64897,0.64897,0.64937,0.6484,0.64855,0.64854,0.6488,0.6482,0.64865,0.64865,0.64872,0.64846,0.64863,0.64863,0.64879,0.64851,0.64877,0.64878,0.64883,0.64844,0.64862,0.64862,0.64878,0.64845,0.64852,0.64853,0.64863,0.64812,0.64823,0.64823,0.6484,0.64801,0.64819,0.64818,0.64827,0.6476,0.64778,0.64778,0.64781,0.64745,0.64773,0.64774,0.64789,0.64758,0.64781,0.64781,0.64793,0.64759,0.64785,0.64785,0.64807,0.64777,0.648,0.64804,0.64897,0.64803,0.64867,0.64869,0.64869,0.6483,0.64833,0.64832,0.64904,0.64832,0.64865,0.64867,0.64888,0.6486,0.64873,0.64872,0.64953,0.64866,0.64943,0.64943,0.64945,0.64924,0.64933,0.64934,0.6497,0.64932,0.64958,0.64956,0.64957,0.64925,0.64931,0.64931,0.64951,0.64923,0.64949,0.64948,0.64965,0.64942,0.6495
2023.01.25 20:30,7.8%,7.5%,7.3%,0.71095,0.71098,0.71074,0.71094,0.71094,0.71113,0.71075,0.71075,0.71075,0.71082,0.71058,0.71064,0.71065,0.71084,0.71062,0.7108,0.71081,0.71102,0.71077,0.71086,0.71083,0.71083,0.71041,0.71043,0.71043,0.71044,0.7099,0.70995,0.70996,0.71048,0.70995,0.71014,0.71014,0.71038,0.71009,0.71022,0.71022,0.71056,0.70942,0.70942,0.70943,0.70965,0.70932,0.70938,0.70938,0.70946,0.70917,0.70932,0.70931,0.7096,0.70923,0.7099,0.70947,0.70996,0.70947,0.7099,0.70991,0.71022,0.70991,0.71015,0.71016,0.71083,0.71016,0.71064,0.71061,0.7109,0.71049,0.71082,0.71084,0.71104,0.71071,0.71101,0.71101,0.71101,0.71065,0.71083,0.71081,0.7109,0.71061,0.71066,0.71067,0.71106,0.71049,0.71103,0.71105,0.71106,0.7106,0.71063,0.71062,0.7109,0.7106,0.71076,0.71077,0.71087,0.71034,0.71036,0.71038,0.71089,0.71038,0.71077,0.71076,0.71101,0.71075,0.71086,0.71087,0.71112,0.71082,0.71082,0.71081,0.71105,0.71062,0.71098,0.71098,0.71111,0.71089,0.71107,0.71105,0.71134,0.71099,0.71134,0.71134,0.71224,0.71134,0.71189,0.71188,0.71201,0.71139,0.71142,0.71143,0.71147,0.71113,0.71113,0.71111,0.71121,0.71093,0.71095,0.71096,0.71096,0.71068,0.71091,0.71092,0.71112,0.71087,0.71107,0.71106,0.71107,0.71085,0.71098,0.711,0.71122,0.711,0.71108,0.71104,0.71113,0.71091,0.71092,0.71093,0.7112,0.71086,0.71117,0.71116,0.71119,0.71094,0.711,0.711,0.71123,0.7109,0.71102,0.71101,0.71152,0.71101,0.71151,0.7115,0.71173,0.71138,0.71169,0.71168,0.71179,0.71159,0.71172,0.71171,0.71202,0.71158,0.71163,0.71164,0.71199,0.71163,0.71199,0.71198,0.71201,0.71155,0.71162,0.71161,0.71181,0.71147,0.71159
2023.04.26 21:30,7.0%,6.9%,7.8%,0.66036,0.66045,0.6602,0.6603,0.66028,0.66038,0.66023,0.66029,0.66032,0.66047,0.66011,0.66046,0.66046,0.66067,0.66044,0.66059,0.6606,0.66071,0.66054,0.66068,0.6607,0.66083,0.66062,0.66082,0.66081,0.66088,0.66043,0.66044,0.66042,0.66046,0.66018,0.66045,0.66046,0.66053,0.66019,0.66024,0.66027,0.66032,0.66015,0.6603,0.66029,0.66032,0.66009,0.6602,0.66019,0.66021,0.66002,0.66011,0.66015,0.66053,0.65996,0.6604,0.66051,0.66071,0.66036,0.6604,0.6604,0.66054,0.66022,0.66054,0.66054,0.66075,0.66049,0.66069,0.6607,0.66073,0.66038,0.66069,0.66069,0.66084,0.66064,0.66075,0.66074,0.66078,0.6606,0.6606,0.66061,0.66074,0.66052,0.66067,0.66067,0.66114,0.66063,0.66097,0.66096,0.66102,0.66081,0.6609,0.66091,0.66103,0.66087,0.66098,0.66101,0.66123,0.66101,0.66117,0.66114,0.66128,0.661,0.66123,0.66122,0.66122,0.66033,0.66068,0.66067,0.66081,0.66058,0.66072,0.66073,0.66106,0.66073,0.66101,0.66102,0.66107,0.66076,0.66077,0.6608,0.66086,0.66066,0.66072,0.66073,0.66083,0.66059,0.66077,0.66078,0.66082,0.66047,0.66053,0.66055,0.66073,0.66048,0.66065,0.66066,0.66096,0.66062,0.66076,0.66075,0.6609,0.66065,0.66065,0.66064,0.66068,0.66048,0.66054,0.66052,0.66084,0.6605,0.66084,0.66084,0.66093,0.66074,0.66089,0.66088,0.66091,0.66071,0.66082,0.66084,0.66087,0.66064,0.66078,0.66078,0.66092,0.66077,0.66079,0.66078,0.66078,0.66063,0.66065,0.66066,0.66082,0.66064,0.66079,0.66079,0.66082,0.66062,0.66082,0.66081,0.66093,0.66077,0.66087,0.66086,0.66094,0.66084,0.66091,0.66092,0.66103,0.66083,0.66095,0.66095,0.66103,0.66082,0.66089,0.66089,0.66095,0.66081,0.66083
