datetime,actual,forecast,good/bad,O_-60,H_-60,L_-60,C_-60,O_-55,H_-55,L_-55,C_-55,O_-50,H_-50,L_-50,C_-50,O_-45,H_-45,L_-45,C_-45,O_-40,H_-40,L_-40,C_-40,O_-35,H_-35,L_-35,C_-35,O_-30,H_-30,L_-30,C_-30,O_-25,H_-25,L_-25,C_-25,O_-20,H_-20,L_-20,C_-20,O_-15,H_-15,L_-15,C_-15,O_-10,H_-10,L_-10,C_-10,O_-5,H_-5,L_-5,C_-5,O_0,H_0,L_0,C_0,O_5,H_5,L_5,C_5,O_10,H_10,L_10,C_10,O_15,H_15,L_15,C_15,O_20,H_20,L_20,C_20,O_25,H_25,L_25,C_25,O_30,H_30,L_30,C_30,O_35,H_35,L_35,C_35,O_40,H_40,L_40,C_40,O_45,H_45,L_45,C_45,O_50,H_50,L_50,C_50,O_55,H_55,L_55,C_55,O_60,H_60,L_60,C_60,O_65,H_65,L_65,C_65,O_70,H_70,L_70,C_70,O_75,H_75,L_75,C_75,O_80,H_80,L_80,C_80,O_85,H_85,L_85,C_85,O_90,H_90,L_90,C_90,O_95,H_95,L_95,C_95,O_100,H_100,L_100,C_100,O_105,H_105,L_105,C_105,O_110,H_110,L_110,C_110,O_115,H_115,L_115,C_115,O_120,H_120,L_120,C_120,O_125,H_125,L_125,C_125,O_130,H_130,L_130,C_130,O_135,H_135,L_135,C_135,O_140,H_140,L_140,C_140,O_145,H_145,L_145,C_145,O_150,H_150,L_150,C_150,O_155,H_155,L_155,C_155,O_160,H_160,L_160,C_160,O_165,H_165,L_165,C_165,O_170,H_170,L_170,C_170,O_175,H_175,L_175,C_175,O_180,H_180,L_180,C_180
2021.02.11 08:00,0.60%,0.50%,Bad,1.21271,1.21306,1.21269,1.21305,1.21305,1.21318,1.21295,1.21297,1.21298,1.21303,1.21273,1.21292,1.21292,1.21301,1.21277,1.21298,1.21296,1.21309,1.21288,1.21306,1.21306,1.21307,1.21292,1.21303,1.21305,1.21317,1.21295,1.21313,1.21313,1.21327,1.21305,1.21308,1.21308,1.21316,1.21297,1.21311,1.2131,1.21318,1.21304,1.21317,1.21316,1.21335,1.21299,1.21307,1.21309,1.2135,1.21305,1.2135,1.21351,1.21362,1.21338,1.21435,1.21352,1.21438,1.21352,1.21435,1.21436,1.21494,1.21432,1.2147,1.21468,1.2147,1.21439,1.21465,1.21464,1.21465,1.21445,1.21456,1.21457,1.21465,1.2145,1.2146,1.2146,1.21484,1.21454,1.21469,1.2147,1.21471,1.21413,1.21424,1.21423,1.2145,1.21413,1.21425,1.21426,1.21448,1.21409,1.21436,1.21435,1.21452,1.21431,1.21447,1.21447,1.21473,1.21433,1.21436,1.21436,1.21442,1.21345,1.21356,1.21356,1.21384,1.2135,1.21357,1.21357,1.21395,1.21352,1.21371,1.21371,1.21384,1.2134,1.21362,1.21361,1.21375,1.21315,1.21345,1.21344,1.21381,1.21337,1.21355,1.21355,1.21411,1.21351,1.21397,1.21395,1.21443,1.21368,1.21442,1.21444,1.21447,1.21411,1.21431,1.21435,1.21448,1.21406,1.21416,1.21417,1.21418,1.2132,1.21334,1.21334,1.21376,1.21332,1.21348,1.21349,1.2139,1.21344,1.21378,1.21379,1.21393,1.21361,1.21382,1.21383,1.21408,1.21361,1.21396,1.21394,1.21401,1.21364,1.21398,1.214,1.21416,1.21395,1.21415,1.21414,1.21428,1.21387,1.21387,1.21388,1.21401,1.2136,1.2139,1.21391,1.21432,1.21388,1.21405,1.21404,1.21421,1.21377,1.21382,1.21384,1.21401,1.21336,1.21336,1.21338,1.21391,1.21314,1.21321,1.21321,1.21346,1.21278,1.21294,1.21296,1.21327,1.21282,1.21282
2021.03.11 08:00,0.50%,0.60%,Good,1.19641,1.19643,1.19575,1.19592,1.19589,1.19619,1.19583,1.19595,1.19596,1.19611,1.19582,1.19607,1.19607,1.19613,1.19593,1.19612,1.19612,1.19634,1.19611,1.19632,1.19633,1.19648,1.19629,1.19643,1.19644,1.19647,1.19605,1.19621,1.1962,1.19638,1.196,1.19612,1.19611,1.19624,1.19591,1.19591,1.19591,1.19606,1.19423,1.1956,1.19558,1.19558,1.19441,1.19469,1.1947,1.19547,1.1947,1.19542,1.19543,1.19554,1.19458,1.19499,1.19466,1.19505,1.1944,1.19499,1.19498,1.19738,1.19486,1.1969,1.19693,1.19714,1.19616,1.19671,1.19671,1.19671,1.19514,1.19545,1.19544,1.19576,1.1953,1.19561,1.19561,1.19576,1.1948,1.19483,1.19483,1.19512,1.19435,1.19449,1.19449,1.19545,1.19442,1.1954,1.19541,1.19566,1.19449,1.19523,1.19523,1.1956,1.19481,1.19517,1.19516,1.19599,1.19515,1.19569,1.19568,1.19585,1.19511,1.19561,1.19561,1.19655,1.19561,1.19576,1.19577,1.19596,1.19543,1.19576,1.19576,1.19619,1.19559,1.19591,1.1959,1.196,1.19464,1.19468,1.19467,1.19517,1.1945,1.19507,1.19508,1.19514,1.19455,1.19493,1.19493,1.19507,1.19413,1.19429,1.19428,1.1945,1.19327,1.19338,1.19341,1.1938,1.19312,1.19375,1.19372,1.19424,1.19371,1.19409,1.19411,1.19427,1.19365,1.19366,1.19367,1.19438,1.19362,1.19404,1.19405,1.19428,1.19382,1.19406,1.19407,1.19434,1.19378,1.1938,1.19382,1.19411,1.19285,1.19296,1.19296,1.19327,1.19279,1.1929,1.19291,1.19323,1.19279,1.19304,1.19304,1.1939,1.19304,1.19389,1.1939,1.19438,1.19386,1.19435,1.19435,1.19508,1.19435,1.19476,1.19477,1.19583,1.19476,1.19577,1.19576,1.1966,1.1954,1.19541,1.19544,1.19612,1.19536,1.19583,1.19586,1.19629,1.19583,1.19602
2021.04.13 08:00,0.70%,0.60%,Bad,1.18908,1.18951,1.18889,1.18899,1.18901,1.18951,1.18886,1.18917,1.18919,1.18956,1.18904,1.18945,1.18942,1.18945,1.1886,1.1886,1.18862,1.189,1.1885,1.1887,1.18872,1.18884,1.18855,1.18876,1.18873,1.18898,1.18863,1.18895,1.18895,1.18938,1.18886,1.18938,1.18939,1.18944,1.18914,1.18936,1.18936,1.18943,1.18879,1.18879,1.18879,1.1891,1.18879,1.18889,1.18889,1.18968,1.18886,1.18961,1.18962,1.18964,1.18888,1.18921,1.18944,1.18953,1.18906,1.18921,1.18921,1.18972,1.18893,1.18951,1.18951,1.18984,1.18936,1.18968,1.18971,1.18978,1.18925,1.18933,1.18934,1.18966,1.18911,1.1894,1.18942,1.19035,1.18776,1.19026,1.19026,1.19176,1.19009,1.19148,1.19147,1.19292,1.19141,1.19264,1.19264,1.19343,1.1923,1.19258,1.19257,1.19273,1.19205,1.1921,1.19212,1.19291,1.192,1.19243,1.19241,1.19343,1.19231,1.19293,1.19294,1.19339,1.19286,1.19302,1.19304,1.19353,1.19304,1.19331,1.1933,1.19355,1.193,1.19341,1.19343,1.19384,1.19312,1.19316,1.19317,1.19335,1.19272,1.1932,1.19322,1.19357,1.19318,1.19337,1.19337,1.19402,1.19327,1.19387,1.19386,1.19397,1.1935,1.19389,1.19387,1.19428,1.19375,1.19394,1.19396,1.19423,1.19388,1.19395,1.19396,1.19397,1.19343,1.19354,1.19354,1.194,1.19353,1.19382,1.1938,1.19405,1.19356,1.19375,1.19374,1.19398,1.19358,1.19373,1.19372,1.19378,1.19307,1.19307,1.19308,1.19319,1.19277,1.19308,1.19305,1.19341,1.19298,1.19338,1.19339,1.19369,1.19318,1.19327,1.19326,1.19327,1.19274,1.19296,1.19297,1.19303,1.19279,1.19288,1.19288,1.19322,1.19282,1.19318,1.19317,1.19344,1.19276,1.1928,1.19279,1.19303,1.19249,1.19262,1.19262,1.19268,1.19235,1.19268
2021.05.12 08:00,0.70%,0.50%,Bad,1.21258,1.21274,1.21236,1.2126,1.21259,1.21283,1.21256,1.21269,1.21269,1.21283,1.21264,1.21267,1.21266,1.21281,1.21248,1.21248,1.21247,1.21271,1.21241,1.21266,1.21266,1.21267,1.21238,1.21252,1.21252,1.21266,1.21225,1.21227,1.21227,1.21239,1.21208,1.21209,1.2121,1.21228,1.21208,1.21215,1.21216,1.21228,1.21197,1.21218,1.2122,1.2122,1.21171,1.21192,1.21192,1.212,1.21175,1.21183,1.21183,1.21206,1.21176,1.21203,1.21202,1.21205,1.21185,1.21203,1.21203,1.21203,1.21178,1.21178,1.2118,1.21181,1.21154,1.21169,1.21171,1.21205,1.21171,1.21198,1.21198,1.21234,1.21194,1.21208,1.21212,1.21212,1.20718,1.20902,1.20903,1.21027,1.20826,1.21016,1.21014,1.21161,1.20977,1.21121,1.21123,1.21237,1.2109,1.21106,1.21106,1.21466,1.21106,1.21441,1.21442,1.21445,1.21281,1.21297,1.21296,1.21477,1.21256,1.21457,1.21454,1.2152,1.21378,1.21398,1.21397,1.21417,1.21344,1.21374,1.21375,1.21397,1.21169,1.21175,1.21175,1.21232,1.21101,1.2111,1.21111,1.21111,1.20916,1.20937,1.20935,1.21033,1.20921,1.20969,1.20966,1.21043,1.20943,1.21034,1.21034,1.21104,1.2099,1.20997,1.20997,1.2107,1.2095,1.20977,1.20978,1.21011,1.20927,1.20938,1.20939,1.21033,1.20912,1.21009,1.2101,1.21021,1.20857,1.20952,1.20954,1.20961,1.20867,1.20923,1.20918,1.20926,1.20822,1.20824,1.20826,1.20854,1.20808,1.2084,1.20841,1.20924,1.2084,1.20924,1.20924,1.20924,1.20856,1.20883,1.20882,1.20882,1.20764,1.20772,1.20773,1.2084,1.20751,1.20777,1.20777,1.20777,1.20736,1.20765,1.20764,1.20775,1.2069,1.20698,1.20697,1.20757,1.20655,1.20673,1.20672,1.20772,1.20672,1.20757,1.20757,1.20808,1.20735,1.20805
2021.06.11 08:00,0.50%,0.40%,Bad,1.2151,1.21517,1.21453,1.21468,1.21469,1.21485,1.21452,1.21453,1.21455,1.21466,1.21438,1.21452,1.2145,1.21453,1.21412,1.21418,1.21419,1.21468,1.21414,1.2143,1.21428,1.21437,1.21392,1.21394,1.21397,1.21399,1.21348,1.21376,1.21374,1.2138,1.21357,1.21371,1.21371,1.21374,1.21323,1.2133,1.21331,1.21348,1.21321,1.21347,1.21348,1.21367,1.21328,1.21328,1.21328,1.21331,1.21296,1.21322,1.21323,1.21341,1.21295,1.21246,1.21337,1.21337,1.21245,1.21246,1.21245,1.21255,1.21223,1.21248,1.21244,1.21253,1.21229,1.21248,1.21247,1.21276,1.21244,1.21254,1.21255,1.21276,1.21255,1.21271,1.2127,1.21296,1.2126,1.21296,1.21296,1.21336,1.21293,1.21313,1.21313,1.21351,1.21286,1.2135,1.21349,1.21376,1.2134,1.21345,1.21345,1.21355,1.21317,1.21318,1.21318,1.21318,1.21281,1.21287,1.21287,1.21291,1.21252,1.21258,1.21259,1.21282,1.21251,1.21274,1.21273,1.21301,1.21268,1.21283,1.21282,1.21301,1.21266,1.21281,1.21279,1.21283,1.21259,1.21272,1.21273,1.21295,1.21268,1.21277,1.21275,1.2129,1.21253,1.21259,1.21257,1.2128,1.21206,1.21207,1.21206,1.21218,1.21195,1.21204,1.21205,1.21215,1.21147,1.21148,1.21147,1.21167,1.21112,1.21167,1.21166,1.21221,1.2116,1.21214,1.21214,1.21269,1.21212,1.21226,1.21226,1.21234,1.2116,1.21165,1.21164,1.21166,1.21108,1.2112,1.21121,1.21146,1.21111,1.21114,1.21112,1.21126,1.21106,1.21118,1.21119,1.21137,1.2111,1.2111,1.2111,1.21113,1.21061,1.21068,1.21068,1.21089,1.21029,1.21031,1.21029,1.21074,1.21012,1.21029,1.21028,1.21066,1.21005,1.21061,1.2106,1.21105,1.21037,1.21102,1.21103,1.21112,1.21052,1.21093,1.21091,1.21146,1.21066,1.21075
2021.07.13 08:00,0.90%,0.70%,Bad,1.18465,1.18468,1.18437,1.18441,1.1844,1.1844,1.18413,1.18418,1.1842,1.1843,1.18411,1.18423,1.18424,1.18433,1.18412,1.18412,1.1841,1.18412,1.18397,1.18408,1.18407,1.18411,1.18404,1.18405,1.18404,1.18411,1.18386,1.18394,1.18396,1.18398,1.18355,1.18355,1.18357,1.18379,1.18356,1.18367,1.18367,1.18376,1.18354,1.18373,1.18375,1.18377,1.18358,1.18362,1.18363,1.18403,1.18361,1.18393,1.18392,1.18428,1.18331,1.18427,1.18424,1.18438,1.18406,1.18427,1.18428,1.18439,1.18416,1.18431,1.18432,1.18474,1.1842,1.18474,1.18475,1.18487,1.18458,1.18483,1.18482,1.18507,1.18465,1.18469,1.18468,1.18474,1.18057,1.18174,1.18173,1.18217,1.1812,1.18179,1.18176,1.18333,1.1814,1.1815,1.18153,1.18175,1.18062,1.18068,1.1807,1.18096,1.17964,1.17996,1.17994,1.18028,1.17941,1.17993,1.17996,1.18054,1.17965,1.18038,1.18037,1.18037,1.17961,1.17995,1.17997,1.18004,1.17935,1.17944,1.17943,1.17957,1.17922,1.17943,1.17942,1.17999,1.17917,1.17995,1.17995,1.18065,1.17992,1.18041,1.1804,1.18103,1.18036,1.18088,1.18087,1.18134,1.1807,1.18099,1.181,1.18108,1.18037,1.18055,1.18054,1.18199,1.18046,1.18176,1.18177,1.18263,1.18166,1.18222,1.18222,1.18244,1.18201,1.1821,1.18209,1.18215,1.1817,1.18177,1.18178,1.18193,1.18114,1.18155,1.18156,1.18222,1.18153,1.18162,1.18161,1.18268,1.1816,1.18263,1.18263,1.18277,1.1823,1.18231,1.1823,1.18327,1.18227,1.18312,1.18313,1.18318,1.18263,1.18277,1.18277,1.1831,1.18265,1.18306,1.18309,1.18313,1.18241,1.18244,1.18247,1.18273,1.18204,1.18211,1.18209,1.18257,1.182,1.18215,1.18216,1.18265,1.18213,1.18225,1.18225,1.18258,1.18176,1.18178
2021.08.11 08:00,0.10%,0.30%,Good,1.17143,1.17143,1.17111,1.17113,1.17112,1.1712,1.17096,1.17113,1.17111,1.17142,1.17111,1.17137,1.17138,1.17156,1.17135,1.17141,1.17142,1.1716,1.17138,1.17144,1.17143,1.17145,1.17126,1.1713,1.17131,1.17138,1.17119,1.17135,1.17136,1.17161,1.17131,1.17151,1.17151,1.17161,1.17146,1.17153,1.17152,1.17177,1.17152,1.17166,1.17166,1.17166,1.17151,1.17156,1.17157,1.17175,1.1715,1.17155,1.17157,1.17172,1.17131,1.17156,1.17167,1.17168,1.17151,1.17156,1.17156,1.17187,1.1713,1.17181,1.17184,1.1721,1.17177,1.17196,1.17196,1.17196,1.17164,1.17185,1.17187,1.17204,1.17162,1.17173,1.1717,1.1737,1.17169,1.17354,1.17354,1.17439,1.17354,1.17408,1.17411,1.17495,1.17392,1.17444,1.17445,1.17452,1.17381,1.17391,1.17393,1.17402,1.17265,1.1727,1.1727,1.17386,1.17265,1.17366,1.17367,1.1738,1.17333,1.17335,1.17333,1.17335,1.17258,1.1732,1.17321,1.17353,1.17283,1.17328,1.17328,1.17393,1.17319,1.17382,1.17382,1.17398,1.17351,1.17363,1.17362,1.1742,1.1736,1.17402,1.17401,1.17467,1.1738,1.17444,1.17442,1.17446,1.17406,1.17407,1.17407,1.17443,1.17364,1.17404,1.17403,1.17415,1.17354,1.17357,1.17356,1.17376,1.17347,1.17365,1.17368,1.17368,1.17339,1.17341,1.17343,1.17345,1.17298,1.173,1.17302,1.17329,1.17298,1.17324,1.17324,1.17329,1.17295,1.17318,1.17318,1.17351,1.17309,1.17313,1.17313,1.17338,1.17301,1.17319,1.17319,1.17354,1.17316,1.17316,1.17317,1.17329,1.17293,1.17309,1.17309,1.17348,1.17293,1.17328,1.17329,1.17367,1.17329,1.17364,1.17362,1.174,1.17351,1.17396,1.17397,1.17409,1.1736,1.17369,1.17371,1.17409,1.17371,1.17392,1.17391,1.17396,1.17371,1.17386
2021.09.10 08:00,0.00%,0.20%,Good,1.18306,1.18317,1.18287,1.18309,1.1831,1.18333,1.18309,1.18324,1.18325,1.18325,1.18297,1.18307,1.18306,1.18334,1.18297,1.18333,1.18334,1.1835,1.18326,1.1835,1.18349,1.18356,1.18336,1.18348,1.18349,1.18359,1.18333,1.18353,1.18353,1.18358,1.18349,1.18354,1.18355,1.18373,1.18349,1.18368,1.18366,1.18366,1.18346,1.18351,1.18352,1.18356,1.18335,1.1834,1.18341,1.18346,1.18318,1.18335,1.18337,1.18371,1.18332,1.18401,1.18367,1.18402,1.18367,1.18401,1.18401,1.18409,1.18387,1.18406,1.18405,1.18409,1.18363,1.18366,1.18366,1.18392,1.1834,1.18387,1.18386,1.18398,1.18375,1.18394,1.18393,1.18417,1.1834,1.18341,1.18342,1.18358,1.18335,1.18358,1.18358,1.1838,1.1834,1.18368,1.18369,1.18399,1.18353,1.18353,1.18352,1.1836,1.1829,1.18294,1.18293,1.18294,1.18258,1.18268,1.18267,1.18275,1.18213,1.18267,1.18266,1.18275,1.18246,1.18259,1.18261,1.18276,1.18247,1.18248,1.18248,1.18264,1.1824,1.18241,1.1824,1.18261,1.18224,1.1823,1.18231,1.18264,1.18228,1.18242,1.18245,1.18262,1.18231,1.18241,1.18242,1.18285,1.1823,1.18275,1.18275,1.18292,1.18249,1.18255,1.18256,1.18293,1.18255,1.18292,1.18294,1.183,1.18232,1.18246,1.18245,1.18349,1.18243,1.18347,1.18347,1.18377,1.1833,1.18339,1.18339,1.18351,1.183,1.18316,1.18315,1.18335,1.18306,1.1833,1.18329,1.18341,1.1831,1.18341,1.18343,1.18343,1.18305,1.18324,1.18327,1.18371,1.18325,1.18359,1.18358,1.1837,1.18331,1.18345,1.18346,1.18358,1.18312,1.18319,1.1832,1.18345,1.18313,1.18319,1.18319,1.18335,1.18296,1.18325,1.18324,1.1837,1.18318,1.1835,1.1835,1.1837,1.18332,1.18333,1.18332,1.1834,1.18293,1.18294
2021.10.13 08:00,0.50%,0.40%,Bad,1.1562,1.15621,1.15608,1.1561,1.15611,1.1562,1.15594,1.15595,1.15596,1.156,1.15575,1.1559,1.1559,1.15595,1.15579,1.1558,1.15579,1.15599,1.15578,1.15582,1.15582,1.15612,1.15579,1.15609,1.15611,1.15619,1.15604,1.15613,1.15612,1.15622,1.15601,1.15621,1.15621,1.1564,1.15618,1.15636,1.15635,1.15643,1.15618,1.15621,1.15622,1.15626,1.15589,1.15615,1.15616,1.15651,1.15615,1.15643,1.15643,1.15643,1.15606,1.15636,1.15635,1.15638,1.15615,1.15636,1.15633,1.15641,1.15615,1.15615,1.15616,1.15619,1.15596,1.156,1.15598,1.15598,1.15583,1.15591,1.15592,1.15593,1.1557,1.15574,1.15573,1.15608,1.15421,1.15447,1.15445,1.15484,1.15382,1.15386,1.15384,1.1546,1.15361,1.15435,1.15432,1.15473,1.15395,1.15473,1.15472,1.15473,1.1543,1.15465,1.15464,1.15467,1.1538,1.15427,1.15426,1.15466,1.15416,1.15454,1.15455,1.15456,1.15403,1.15428,1.15428,1.15487,1.15427,1.15486,1.15484,1.15497,1.15463,1.15467,1.15468,1.15598,1.15466,1.15574,1.15576,1.15627,1.15573,1.15615,1.15616,1.15706,1.15616,1.15625,1.15623,1.15699,1.15622,1.15697,1.15693,1.15702,1.15616,1.1565,1.15649,1.15676,1.15624,1.15637,1.15638,1.15662,1.15612,1.15613,1.15613,1.15671,1.15611,1.15645,1.15643,1.15672,1.15634,1.15646,1.15644,1.15646,1.15603,1.15633,1.15635,1.15642,1.15581,1.15581,1.15581,1.15654,1.1557,1.15642,1.15643,1.15675,1.15641,1.15664,1.15662,1.15692,1.15661,1.15687,1.15688,1.15728,1.15661,1.15709,1.15708,1.1573,1.15694,1.15714,1.15715,1.15723,1.15692,1.15721,1.15723,1.15736,1.15679,1.15697,1.15697,1.15703,1.15659,1.15677,1.15676,1.15745,1.15667,1.15736,1.15734,1.15773,1.15734,1.15761
2021.11.11 08:00,0.40%,0.50%,Good,1.147,1.14702,1.14666,1.14698,1.14702,1.14748,1.14699,1.14725,1.14726,1.14746,1.14724,1.14733,1.14732,1.14743,1.14717,1.14732,1.14733,1.14748,1.14673,1.14673,1.14675,1.14691,1.1465,1.14684,1.14685,1.14695,1.14654,1.14662,1.14666,1.14669,1.14633,1.14654,1.14654,1.14668,1.14632,1.14643,1.14641,1.14654,1.14626,1.14652,1.14654,1.14666,1.14643,1.14649,1.14648,1.1465,1.14614,1.14628,1.14629,1.14631,1.14599,1.14581,1.14602,1.14606,1.14571,1.14581,1.14582,1.146,1.14566,1.14599,1.146,1.14621,1.14587,1.14607,1.14605,1.14654,1.14598,1.14638,1.14636,1.14636,1.14574,1.14574,1.14574,1.14634,1.1457,1.14617,1.14619,1.1464,1.14605,1.14609,1.14609,1.14623,1.14595,1.14599,1.14598,1.14661,1.14594,1.14657,1.14656,1.14657,1.14596,1.146,1.14599,1.14604,1.14557,1.14596,1.14597,1.14658,1.14569,1.14651,1.14648,1.14685,1.14648,1.14666,1.14666,1.147,1.14665,1.1468,1.14677,1.14694,1.14667,1.14685,1.14686,1.147,1.14675,1.14688,1.14688,1.14702,1.14679,1.14692,1.14695,1.147,1.14665,1.1467,1.14672,1.14674,1.146,1.14636,1.14633,1.14673,1.1462,1.14664,1.14662,1.14693,1.14661,1.14677,1.14678,1.14733,1.14664,1.14732,1.14732,1.14738,1.14672,1.14692,1.14691,1.14692,1.14661,1.1467,1.14671,1.14674,1.14624,1.14642,1.14643,1.1469,1.14642,1.14668,1.14667,1.1467,1.14629,1.14666,1.14664,1.14664,1.14619,1.14631,1.14633,1.14686,1.14618,1.14686,1.14686,1.14721,1.1467,1.14707,1.14707,1.14749,1.14693,1.1472,1.14718,1.14765,1.14706,1.14749,1.14747,1.14751,1.14693,1.14694,1.14696,1.1477,1.14691,1.14745,1.14745,1.14745,1.14691,1.14703,1.14703,1.14707,1.1467,1.14687
