datetime,actual,forecast,good/bad,O_-60,H_-60,L_-60,C_-60,O_-55,H_-55,L_-55,C_-55,O_-50,H_-50,L_-50,C_-50,O_-45,H_-45,L_-45,C_-45,O_-40,H_-40,L_-40,C_-40,O_-35,H_-35,L_-35,C_-35,O_-30,H_-30,L_-30,C_-30,O_-25,H_-25,L_-25,C_-25,O_-20,H_-20,L_-20,C_-20,O_-15,H_-15,L_-15,C_-15,O_-10,H_-10,L_-10,C_-10,O_-5,H_-5,L_-5,C_-5,O_0,H_0,L_0,C_0,O_5,H_5,L_5,C_5,O_10,H_10,L_10,C_10,O_15,H_15,L_15,C_15,O_20,H_20,L_20,C_20,O_25,H_25,L_25,C_25,O_30,H_30,L_30,C_30,O_35,H_35,L_35,C_35,O_40,H_40,L_40,C_40,O_45,H_45,L_45,C_45,O_50,H_50,L_50,C_50,O_55,H_55,L_55,C_55,O_60,H_60,L_60,C_60,O_65,H_65,L_65,C_65,O_70,H_70,L_70,C_70,O_75,H_75,L_75,C_75,O_80,H_80,L_80,C_80,O_85,H_85,L_85,C_85,O_90,H_90,L_90,C_90,O_95,H_95,L_95,C_95,O_100,H_100,L_100,C_100,O_105,H_105,L_105,C_105,O_110,H_110,L_110,C_110,O_115,H_115,L_115,C_115,O_120,H_120,L_120,C_120,O_125,H_125,L_125,C_125,O_130,H_130,L_130,C_130,O_135,H_135,L_135,C_135,O_140,H_140,L_140,C_140,O_145,H_145,L_145,C_145,O_150,H_150,L_150,C_150,O_155,H_155,L_155,C_155,O_160,H_160,L_160,C_160,O_165,H_165,L_165,C_165,O_170,H_170,L_170,C_170,O_175,H_175,L_175,C_175,O_180,H_180,L_180,C_180
2021.02.05 08:30,166K,50K,Bad,1.36945,1.37007,1.36934,1.36937,1.36937,1.36958,1.36911,1.36911,1.36911,1.36914,1.36867,1.36882,1.3688,1.36917,1.36848,1.36916,1.36917,1.36977,1.36914,1.36945,1.36944,1.37019,1.36933,1.36974,1.36972,1.37,1.36947,1.36962,1.36963,1.3698,1.369,1.36904,1.36904,1.36919,1.36872,1.36884,1.36885,1.3691,1.36872,1.36893,1.36891,1.3692,1.3687,1.36892,1.36892,1.36912,1.36862,1.3691,1.36908,1.37069,1.36902,1.37139,1.37064,1.37165,1.37047,1.37139,1.3714,1.37148,1.37047,1.3708,1.3708,1.37188,1.3708,1.37171,1.3717,1.37187,1.3707,1.37122,1.37125,1.37128,1.36973,1.37042,1.3704,1.37135,1.37004,1.371,1.37098,1.37154,1.3706,1.37084,1.37083,1.37129,1.3706,1.37068,1.37069,1.37097,1.37,1.37047,1.37051,1.37102,1.3703,1.37079,1.37078,1.37159,1.37077,1.3714,1.37141,1.37156,1.37098,1.37113,1.3711,1.37153,1.3711,1.37141,1.37141,1.3726,1.37139,1.37231,1.3723,1.37274,1.37218,1.37228,1.37229,1.37271,1.37219,1.37265,1.37269,1.37269,1.37172,1.37198,1.37199,1.37248,1.37163,1.37214,1.37215,1.37326,1.37207,1.37324,1.37324,1.37369,1.37297,1.37318,1.37317,1.37345,1.37288,1.37323,1.37324,1.37346,1.37292,1.37312,1.37314,1.37362,1.37314,1.37338,1.37339,1.37397,1.37339,1.37392,1.37391,1.37391,1.37317,1.37338,1.3734,1.37351,1.37277,1.373,1.373,1.3733,1.37259,1.3726,1.3726,1.37266,1.37164,1.37199,1.372,1.37306,1.37188,1.37233,1.37239,1.37307,1.37208,1.3721,1.37211,1.37253,1.37197,1.37248,1.37247,1.37317,1.37246,1.37268,1.37268,1.37271,1.37231,1.37249,1.3725,1.37308,1.37236,1.3728,1.37282,1.37282,1.37236,1.3726,1.3726,1.373,1.37236,1.373
2021.03.05 08:30,916K,182K,Bad,1.38244,1.3826,1.38181,1.3819,1.38189,1.38212,1.38156,1.3817,1.3817,1.38202,1.38131,1.38179,1.38178,1.38208,1.38123,1.38208,1.38208,1.38213,1.38111,1.3812,1.3812,1.38272,1.38114,1.38266,1.38267,1.3835,1.38248,1.38344,1.38343,1.38375,1.38301,1.38343,1.38346,1.38359,1.38299,1.38321,1.38322,1.38351,1.38242,1.38251,1.38252,1.38323,1.38248,1.3827,1.38271,1.38329,1.38177,1.3822,1.38221,1.38221,1.37784,1.38057,1.37974,1.38078,1.37909,1.38057,1.38057,1.3825,1.3799,1.38227,1.38228,1.38303,1.38096,1.38162,1.38163,1.38221,1.3811,1.38221,1.38221,1.38274,1.38182,1.38255,1.38254,1.38423,1.38241,1.38406,1.38405,1.38484,1.38371,1.38473,1.38474,1.38492,1.38378,1.38464,1.38463,1.38664,1.38463,1.38619,1.38621,1.38696,1.38611,1.38635,1.38634,1.38673,1.38591,1.3862,1.38622,1.38658,1.38531,1.38531,1.38534,1.38556,1.38343,1.38346,1.38348,1.38442,1.38338,1.38405,1.38405,1.38412,1.38302,1.38304,1.38303,1.3832,1.3817,1.38171,1.38172,1.38199,1.38019,1.38165,1.38159,1.38175,1.38095,1.38129,1.38127,1.38312,1.3811,1.38273,1.38277,1.38337,1.38152,1.38174,1.38175,1.38375,1.38173,1.38343,1.38342,1.38365,1.38213,1.38232,1.38233,1.38306,1.38179,1.3823,1.3823,1.38243,1.38139,1.38183,1.38184,1.38288,1.38164,1.38219,1.38219,1.38245,1.38109,1.38164,1.38162,1.38323,1.38067,1.38314,1.3831,1.38369,1.38228,1.38342,1.38344,1.38344,1.38144,1.38161,1.38157,1.38241,1.3813,1.3813,1.38131,1.38181,1.38067,1.38072,1.38072,1.38161,1.38061,1.38089,1.38089,1.38152,1.38082,1.38131,1.38131,1.38205,1.3808,1.38124,1.38125,1.38146,1.38002,1.38042,1.38035,1.38083,1.38004,1.38012
2021.04.02 08:30,916K,660K,Bad,1.38318,1.38354,1.38314,1.3834,1.38341,1.38363,1.38337,1.38363,1.38363,1.3837,1.38358,1.38363,1.38363,1.38372,1.38343,1.38345,1.38346,1.38347,1.38282,1.38282,1.38281,1.38296,1.38271,1.38292,1.38293,1.3832,1.38281,1.38302,1.38299,1.38318,1.38286,1.38318,1.38315,1.38315,1.38285,1.38285,1.38282,1.38283,1.38247,1.38252,1.38253,1.38258,1.38225,1.38258,1.38259,1.38296,1.38247,1.38257,1.38256,1.38283,1.38095,1.38349,1.38265,1.38422,1.38246,1.38349,1.3835,1.3835,1.38283,1.38286,1.38283,1.38323,1.38263,1.38318,1.38322,1.38343,1.38301,1.38338,1.38333,1.38357,1.38319,1.38333,1.38334,1.38335,1.38239,1.38239,1.38242,1.38244,1.38137,1.3818,1.38182,1.38205,1.38164,1.38194,1.38195,1.38213,1.38176,1.38212,1.38211,1.38213,1.38191,1.38191,1.38192,1.38205,1.38171,1.38172,1.3817,1.38215,1.38156,1.38208,1.38211,1.38262,1.38211,1.38258,1.38257,1.38307,1.3825,1.3826,1.38257,1.38277,1.38244,1.38274,1.38274,1.38281,1.38258,1.38278,1.38277,1.38299,1.38271,1.38298,1.38299,1.383,1.38279,1.3828,1.38279,1.38281,1.38228,1.38232,1.3823,1.38231,1.38169,1.38185,1.38184,1.3819,1.38171,1.38185,1.38187,1.38187,1.38165,1.38184,1.38184,1.38184,1.38144,1.38158,1.38154,1.38187,1.38153,1.38169,1.3817,1.3819,1.38147,1.38189,1.38188,1.38192,1.38185,1.38185,1.38186,1.38195,1.38149,1.38149,1.3815,1.38184,1.38136,1.38177,1.38182,1.38286,1.38174,1.38268,1.38268,1.38268,1.38195,1.38199,1.38197,1.38235,1.38193,1.3823,1.38228,1.38237,1.38193,1.38237,1.38239,1.38272,1.38221,1.3824,1.38239,1.38255,1.38194,1.38216,1.38218,1.38273,1.38215,1.38239,1.38241,1.38266,1.38146,1.38239
2021.05.07 08:30,266K,978K,Good,1.39054,1.39071,1.3904,1.39053,1.39054,1.3906,1.38949,1.3896,1.38957,1.39067,1.38957,1.39043,1.39044,1.39054,1.39011,1.39045,1.39047,1.39077,1.39012,1.39012,1.3901,1.39011,1.38971,1.39003,1.39003,1.39015,1.3896,1.3897,1.38972,1.38974,1.38909,1.38935,1.38937,1.38941,1.38908,1.38913,1.38913,1.38984,1.38908,1.38956,1.38951,1.38965,1.38933,1.38961,1.38962,1.39013,1.38939,1.38989,1.38977,1.39698,1.3897,1.39551,1.39644,1.39719,1.39531,1.39551,1.39553,1.39624,1.39362,1.39437,1.39437,1.39562,1.39431,1.39552,1.39554,1.39672,1.39551,1.39604,1.39606,1.39657,1.39437,1.3954,1.39536,1.39585,1.39368,1.39368,1.39369,1.39391,1.39202,1.39267,1.39266,1.39341,1.39233,1.39309,1.39308,1.39423,1.393,1.39349,1.39352,1.39352,1.39252,1.39274,1.39271,1.39321,1.392,1.39225,1.39228,1.39297,1.39199,1.39225,1.39222,1.39336,1.39214,1.39254,1.39258,1.39292,1.39181,1.39287,1.39287,1.39405,1.39229,1.39394,1.39396,1.3944,1.3934,1.39362,1.39359,1.39443,1.39322,1.39417,1.39418,1.39503,1.3941,1.39483,1.39482,1.39551,1.3947,1.39521,1.39521,1.39602,1.39518,1.39571,1.39572,1.39593,1.39514,1.39571,1.3957,1.3968,1.3956,1.39629,1.39629,1.3967,1.39621,1.3964,1.39642,1.39702,1.39632,1.39669,1.39669,1.39732,1.39629,1.39675,1.39674,1.39789,1.39673,1.39769,1.39769,1.39812,1.39738,1.39771,1.39771,1.39797,1.39709,1.39731,1.3973,1.39813,1.3973,1.3979,1.39789,1.39835,1.39752,1.39831,1.39834,1.39838,1.39797,1.39821,1.39825,1.3987,1.3977,1.3987,1.3987,1.39906,1.39855,1.39904,1.39905,1.39941,1.39875,1.39923,1.39924,1.39924,1.39877,1.39879,1.39883,1.39957,1.3987,1.3993
2021.06.04 08:30,559K,650K,Good,1.41258,1.4127,1.41233,1.41238,1.41238,1.41274,1.41222,1.41222,1.41225,1.41238,1.41163,1.41201,1.41203,1.41241,1.41191,1.41241,1.41241,1.4128,1.41231,1.41262,1.41261,1.41311,1.41247,1.413,1.41299,1.4138,1.41295,1.41374,1.41374,1.41414,1.41356,1.4136,1.41361,1.41408,1.4136,1.41402,1.41405,1.41455,1.41398,1.41399,1.41402,1.41419,1.41377,1.41403,1.41406,1.41421,1.41319,1.41372,1.41372,1.41787,1.41367,1.41611,1.41736,1.41736,1.41591,1.41611,1.41615,1.41702,1.41542,1.41691,1.41691,1.41725,1.4163,1.41684,1.41683,1.41781,1.41649,1.41757,1.41755,1.41856,1.41754,1.41784,1.41784,1.41889,1.41768,1.41851,1.4185,1.41852,1.41797,1.4181,1.41811,1.41848,1.41789,1.41817,1.41818,1.41914,1.41818,1.41907,1.41909,1.41947,1.41907,1.41916,1.41917,1.41994,1.41916,1.41938,1.41937,1.41998,1.41928,1.41968,1.41969,1.41998,1.4196,1.41987,1.41989,1.41998,1.41925,1.41977,1.41979,1.41994,1.41936,1.41958,1.41961,1.42002,1.41926,1.41932,1.4193,1.41938,1.41827,1.4187,1.41876,1.41929,1.41843,1.41846,1.41847,1.41923,1.41843,1.41879,1.4188,1.41886,1.41845,1.41848,1.41847,1.41884,1.41811,1.4187,1.41872,1.4188,1.41826,1.41874,1.41872,1.41884,1.41829,1.41832,1.4183,1.41923,1.41827,1.41913,1.41916,1.41936,1.41887,1.4189,1.41892,1.41899,1.41795,1.41831,1.41831,1.41856,1.4179,1.4184,1.41842,1.41865,1.4166,1.41669,1.41671,1.4174,1.41661,1.4171,1.4171,1.41751,1.41693,1.41722,1.41726,1.41742,1.41678,1.41682,1.41682,1.41769,1.41678,1.41769,1.4177,1.41782,1.41729,1.41741,1.41742,1.41755,1.41676,1.41679,1.41679,1.41691,1.4166,1.4168,1.4168,1.41713,1.41665,1.4168
2021.07.02 08:30,850K,700K,Bad,1.37497,1.37523,1.37495,1.37521,1.3752,1.37522,1.37471,1.37472,1.37472,1.37493,1.37462,1.37492,1.37488,1.37503,1.37449,1.37453,1.37453,1.3748,1.37412,1.37433,1.37433,1.37442,1.37402,1.37414,1.37414,1.37446,1.37401,1.37402,1.37403,1.37435,1.37373,1.3743,1.37426,1.37468,1.3741,1.37465,1.37468,1.37476,1.37422,1.37445,1.37443,1.37486,1.37419,1.37482,1.3748,1.37529,1.37424,1.3744,1.37435,1.37803,1.37313,1.3773,1.37784,1.37831,1.37655,1.3773,1.37729,1.37868,1.37687,1.37853,1.37856,1.37856,1.37682,1.37698,1.37699,1.37774,1.3764,1.3774,1.37738,1.3784,1.37689,1.37797,1.37797,1.37911,1.37794,1.37823,1.37823,1.37869,1.37814,1.37828,1.37829,1.37885,1.37812,1.3782,1.37821,1.3789,1.37816,1.37875,1.37873,1.37881,1.37779,1.37782,1.37778,1.37811,1.3771,1.3771,1.37717,1.37762,1.37642,1.37719,1.37718,1.37748,1.3764,1.37683,1.37684,1.37688,1.37589,1.37601,1.37599,1.37686,1.37597,1.37626,1.37625,1.37711,1.37594,1.37705,1.37703,1.37803,1.37685,1.3778,1.37779,1.37803,1.37713,1.37723,1.37723,1.37744,1.37688,1.37694,1.37692,1.37751,1.37687,1.37745,1.37745,1.37793,1.37707,1.37792,1.37792,1.37819,1.37761,1.37815,1.37814,1.37843,1.37781,1.37826,1.37824,1.3784,1.37769,1.3778,1.37779,1.37787,1.37715,1.37782,1.37782,1.37802,1.37742,1.37783,1.37784,1.37784,1.37715,1.37731,1.37731,1.37782,1.37705,1.37772,1.37774,1.37867,1.37774,1.37812,1.37811,1.37843,1.37805,1.37823,1.37827,1.37892,1.37825,1.37875,1.37874,1.37933,1.3787,1.3787,1.3787,1.37904,1.37865,1.3789,1.37892,1.37925,1.37881,1.37881,1.37882,1.37953,1.37871,1.37935,1.37935,1.37962,1.37919,1.37941
2021.08.06 08:30,1053K,870K,Bad,1.39119,1.39121,1.39099,1.39114,1.39117,1.39176,1.39109,1.39169,1.39169,1.39193,1.3915,1.3919,1.39193,1.39209,1.39154,1.39174,1.39172,1.39188,1.39136,1.39167,1.39166,1.39198,1.39156,1.39169,1.3917,1.39181,1.39145,1.39178,1.39178,1.39194,1.39146,1.39158,1.39163,1.39191,1.39158,1.39165,1.39166,1.39176,1.39146,1.39176,1.39176,1.39176,1.39135,1.39145,1.39144,1.39179,1.39119,1.39166,1.39166,1.39281,1.38941,1.3916,1.39128,1.39266,1.391,1.3916,1.39163,1.3918,1.3904,1.39079,1.39079,1.39164,1.39057,1.3908,1.39079,1.39085,1.39008,1.39048,1.3905,1.39079,1.3901,1.3902,1.39018,1.39018,1.38909,1.38962,1.3896,1.38981,1.38928,1.38941,1.3894,1.38966,1.38903,1.38966,1.38963,1.38964,1.389,1.38922,1.38925,1.38991,1.38907,1.38989,1.38991,1.38993,1.38965,1.38974,1.38974,1.39072,1.38967,1.39039,1.39037,1.39037,1.38951,1.3897,1.38971,1.3904,1.38952,1.39002,1.39,1.39002,1.38854,1.38877,1.38878,1.38894,1.38832,1.38892,1.38892,1.38909,1.38868,1.38868,1.38869,1.38876,1.38791,1.38806,1.38805,1.38857,1.38787,1.38837,1.38836,1.38852,1.38801,1.38805,1.38809,1.38809,1.38761,1.38802,1.38801,1.38802,1.387,1.38739,1.38738,1.38771,1.3871,1.38762,1.38762,1.38811,1.38751,1.38805,1.38801,1.38801,1.38745,1.38751,1.3875,1.38798,1.38746,1.38798,1.38796,1.388,1.38721,1.38722,1.38718,1.38727,1.38661,1.38685,1.38685,1.38685,1.38629,1.38675,1.38672,1.38684,1.38641,1.38672,1.38671,1.38671,1.38628,1.38648,1.38652,1.38659,1.38621,1.38641,1.38641,1.38646,1.38608,1.38614,1.38613,1.387,1.38613,1.38658,1.38658,1.3868,1.38649,1.38661,1.38664,1.38711,1.38649,1.38709
2021.09.03 08:30,366K,750K,Good,1.38318,1.38335,1.38306,1.38332,1.38331,1.38355,1.38308,1.38343,1.38342,1.38359,1.38328,1.38357,1.38358,1.38366,1.38329,1.38357,1.38356,1.38379,1.38356,1.38367,1.38368,1.38379,1.38303,1.38322,1.38321,1.38323,1.38284,1.38306,1.38309,1.38329,1.38298,1.3831,1.38309,1.38327,1.38277,1.38299,1.38299,1.38346,1.38297,1.3834,1.38341,1.38353,1.38318,1.38318,1.38318,1.38318,1.38234,1.38245,1.38258,1.38671,1.3825,1.38358,1.38534,1.38586,1.38339,1.38358,1.38359,1.38395,1.38257,1.38328,1.38328,1.3846,1.38281,1.38456,1.38455,1.38549,1.38434,1.3851,1.38515,1.38567,1.38486,1.38497,1.385,1.38546,1.38486,1.38507,1.38509,1.38554,1.38488,1.38531,1.38529,1.38576,1.38478,1.38568,1.38567,1.38597,1.38497,1.38497,1.38496,1.38508,1.3842,1.3849,1.38489,1.38557,1.38438,1.38454,1.38458,1.38568,1.38451,1.38557,1.38559,1.38567,1.38429,1.38446,1.38447,1.38457,1.38375,1.38403,1.38402,1.38449,1.38385,1.38449,1.38447,1.38475,1.38407,1.38467,1.38468,1.38536,1.38447,1.38521,1.38519,1.38552,1.38478,1.38545,1.38547,1.38579,1.38451,1.38557,1.38557,1.38599,1.38553,1.38588,1.38587,1.38618,1.38571,1.38573,1.38572,1.38599,1.3853,1.38536,1.38538,1.38578,1.38538,1.38538,1.38538,1.38632,1.3853,1.3861,1.38609,1.38614,1.38554,1.38568,1.38571,1.38609,1.38546,1.3859,1.38588,1.38611,1.38493,1.38494,1.38494,1.3862,1.38494,1.38549,1.38546,1.38744,1.3854,1.38705,1.38705,1.38705,1.3864,1.38686,1.38686,1.38695,1.38667,1.38671,1.3867,1.38738,1.38665,1.38675,1.38675,1.38702,1.38634,1.38646,1.38646,1.38666,1.38622,1.38647,1.38647,1.38664,1.38619,1.38628,1.38631,1.38637,1.38577,1.38577
2021.10.08 08:30,531K,500K,Good,1.3625,1.36261,1.36246,1.36252,1.36252,1.36293,1.36252,1.36284,1.36285,1.36291,1.36271,1.36272,1.36272,1.36282,1.36238,1.36247,1.36243,1.36276,1.36218,1.36234,1.36235,1.36239,1.36199,1.36233,1.36231,1.36268,1.36212,1.36257,1.36254,1.36261,1.36231,1.36241,1.3624,1.36274,1.36232,1.3627,1.36271,1.36273,1.36231,1.36245,1.36244,1.36244,1.36186,1.36232,1.36231,1.36245,1.362,1.36223,1.36224,1.36577,1.36217,1.36513,1.36366,1.36551,1.36364,1.36513,1.36513,1.36513,1.36405,1.36425,1.36424,1.36503,1.3635,1.36354,1.36354,1.36475,1.36354,1.36388,1.36389,1.36491,1.36383,1.36402,1.36402,1.36429,1.36327,1.36422,1.36421,1.36477,1.36387,1.36422,1.36422,1.36449,1.36332,1.36334,1.36333,1.36364,1.36272,1.36285,1.36285,1.36344,1.36233,1.36321,1.36318,1.36353,1.36228,1.36233,1.36234,1.36278,1.36118,1.36118,1.36117,1.36196,1.36115,1.36196,1.36196,1.36288,1.36191,1.36239,1.36236,1.36268,1.36155,1.36203,1.36203,1.36293,1.36184,1.36272,1.36273,1.36306,1.36256,1.36272,1.36271,1.36394,1.36263,1.36389,1.36389,1.36414,1.3635,1.36357,1.36358,1.36423,1.3633,1.36408,1.36406,1.36457,1.36356,1.36425,1.36424,1.36428,1.36332,1.36345,1.36344,1.36441,1.36321,1.36428,1.36426,1.36457,1.36389,1.36412,1.36413,1.36468,1.36406,1.36434,1.36435,1.36453,1.36364,1.36432,1.36431,1.36456,1.36359,1.36365,1.36371,1.36443,1.36349,1.36383,1.3639,1.36418,1.36348,1.36374,1.36373,1.36425,1.36352,1.36425,1.36424,1.36427,1.36364,1.36403,1.36403,1.36434,1.36382,1.36425,1.36425,1.36484,1.36425,1.36478,1.36479,1.36485,1.36385,1.36403,1.36404,1.36404,1.36357,1.36364,1.36363,1.36374,1.36298,1.36301
2021.11.05 08:30,546K,425K,Bad,1.34557,1.3457,1.34294,1.34492,1.3449,1.34589,1.34468,1.34475,1.34482,1.3452,1.34397,1.34422,1.34422,1.34529,1.34409,1.34524,1.34524,1.34563,1.34488,1.34508,1.34508,1.34515,1.34436,1.3446,1.34459,1.34627,1.3444,1.34615,1.34618,1.34642,1.34575,1.34642,1.34643,1.34683,1.34614,1.34659,1.34657,1.34759,1.34657,1.34759,1.3476,1.3478,1.34634,1.34636,1.34636,1.34735,1.34625,1.34673,1.34675,1.3474,1.34674,1.34649,1.3471,1.34729,1.34647,1.34649,1.34649,1.3466,1.3462,1.34649,1.34647,1.3466,1.34605,1.34644,1.34646,1.34649,1.34559,1.34577,1.34574,1.34578,1.34508,1.34577,1.34576,1.34615,1.34566,1.34598,1.34598,1.34607,1.34546,1.34548,1.34548,1.3463,1.3453,1.34592,1.34593,1.34637,1.34563,1.34618,1.34617,1.34711,1.34608,1.34702,1.34701,1.34751,1.34687,1.34743,1.34742,1.34752,1.34667,1.3468,1.34678,1.34718,1.34664,1.3471,1.34708,1.34761,1.34708,1.34729,1.34729,1.3476,1.34704,1.34707,1.34707,1.34731,1.34689,1.34699,1.34696,1.347,1.34627,1.34641,1.34644,1.3469,1.34616,1.34676,1.34673,1.34737,1.34661,1.34718,1.34717,1.3482,1.34698,1.34815,1.34816,1.34858,1.34806,1.34809,1.34808,1.34827,1.34785,1.3482,1.34818,1.3485,1.34797,1.3485,1.3485,1.34888,1.34837,1.34878,1.34883,1.34922,1.3485,1.34909,1.34908,1.34965,1.34893,1.34904,1.34902,1.34942,1.34866,1.34915,1.34915,1.34994,1.34915,1.34967,1.34968,1.34969,1.34888,1.34897,1.34896,1.34902,1.34853,1.34876,1.34878,1.3488,1.34794,1.34808,1.34806,1.34827,1.34777,1.34778,1.34779,1.34805,1.34767,1.34789,1.34789,1.34884,1.34786,1.34881,1.34882,1.34916,1.34865,1.34916,1.34918,1.3496,1.34918,1.34959
