datetime (EST),actual,forecast,impact_on_usd
2021.01.28 08:30,4.0%,4.2%,bad
2021.04.29 08:30,6.4%,6.1%,good
2021.07.29 08:30,6.5%,8.4%,bad
2021.10.28 08:30,2.0%,2.7%,bad
2022.01.27 08:30,6.9%,5.5%,good
2022.04.28 08:30,-1.4%,1.1%,bad
2022.07.28 08:30,-0.9%,-0.5%,bad
2022.10.27 08:30,2.6%,2.4%,good
2023.01.26 08:30,2.9%,2.6%,good
2023.04.27 08:30,1.1%,2.0%,bad
2023.07.27 08:30,2.4%,1.8%,good
2023.10.26 08:30,4.9%,4.3%,good
2024.01.25 08:30,3.3%,2.0%,good
2024.04.25 08:30,1.6%,2.5%,bad
2024.06.27 08:30,1.4%,1.3%,good
