datetime (EST),actual,forecast,impact_on_usd
2021.01.15 08:30,-0.7%,-0.1%,bad
2021.02.17 08:30,5.3%,1.1%,good
2021.03.16 08:30,-3.0%,-0.5%,bad
2021.04.15 08:30,9.8%,5.9%,good
2021.05.14 08:30,0.0%,1.0%,bad
2021.06.15 08:30,-1.3%,-0.7%,bad
2021.07.16 08:30,0.6%,-0.4%,good
2021.08.17 08:30,-1.1%,-0.3%,bad
2021.09.16 08:30,0.7%,-0.8%,good
2021.10.15 08:30,0.7%,-0.2%,good
2021.11.16 08:30,1.7%,1.4%,good
2021.12.15 08:30,0.3%,0.8%,bad
2022.01.14 08:30,-1.9%,-0.1%,bad
2022.02.16 08:30,3.8%,2.1%,good
2022.03.16 08:30,0.3%,0.4%,bad
2022.04.14 08:30,0.5%,0.6%,bad
2022.05.17 08:30,0.9%,1.0%,bad
2022.06.15 08:30,-0.3%,0.2%,bad
2022.07.15 08:30,1.0%,0.9%,good
2022.08.17 08:30,0.0%,0.1%,bad
2022.09.15 08:30,0.3%,0.0%,good
2022.10.14 08:30,0.0%,0.2%,bad
2022.11.16 08:30,1.3%,1.0%,good
2022.12.15 08:30,-0.6%,-0.2%,bad
2023.01.18 08:30,-1.1%,-0.9%,bad
2023.02.15 08:30,3.0%,1.8%,good
2023.03.15 08:30,-0.4%,-0.3%,bad
2023.04.14 08:30,-0.6%,-0.4%,bad
2023.05.16 08:30,0.4%,0.8%,bad
2023.06.15 08:30,0.3%,0.5%,bad
2023.07.18 08:30,0.2%,0.5%,bad
2023.08.15 08:30,0.7%,0.4%,good
2023.09.14 08:30,0.6%,0.2%,good
2023.10.17 08:30,0.7%,0.3%,good
2023.11.15 08:30,-0.1%,-0.3%,good
2023.12.14 08:30,0.3%,-0.1%,good
2024.01.17 08:30,-0.8%,-0.1%,bad
2024.02.15 08:30,-0.8%,-0.2%,bad
2024.03.14 08:30,0.6%,0.8%,bad
2024.04.15 08:30,0.7%,0.4%,good
2024.05.15 08:30,0.0%,0.4%,bad
2024.06.18 08:30,0.1%,0.2%,bad
