datetime,actual,forecast,good/bad,O_-60,H_-60,L_-60,C_-60,O_-55,H_-55,L_-55,C_-55,O_-50,H_-50,L_-50,C_-50,O_-45,H_-45,L_-45,C_-45,O_-40,H_-40,L_-40,C_-40,O_-35,H_-35,L_-35,C_-35,O_-30,H_-30,L_-30,C_-30,O_-25,H_-25,L_-25,C_-25,O_-20,H_-20,L_-20,C_-20,O_-15,H_-15,L_-15,C_-15,O_-10,H_-10,L_-10,C_-10,O_-5,H_-5,L_-5,C_-5,O_0,H_0,L_0,C_0,O_5,H_5,L_5,C_5,O_10,H_10,L_10,C_10,O_15,H_15,L_15,C_15,O_20,H_20,L_20,C_20,O_25,H_25,L_25,C_25,O_30,H_30,L_30,C_30,O_35,H_35,L_35,C_35,O_40,H_40,L_40,C_40,O_45,H_45,L_45,C_45,O_50,H_50,L_50,C_50,O_55,H_55,L_55,C_55,O_60,H_60,L_60,C_60,O_65,H_65,L_65,C_65,O_70,H_70,L_70,C_70,O_75,H_75,L_75,C_75,O_80,H_80,L_80,C_80,O_85,H_85,L_85,C_85,O_90,H_90,L_90,C_90,O_95,H_95,L_95,C_95,O_100,H_100,L_100,C_100,O_105,H_105,L_105,C_105,O_110,H_110,L_110,C_110,O_115,H_115,L_115,C_115,O_120,H_120,L_120,C_120,O_125,H_125,L_125,C_125,O_130,H_130,L_130,C_130,O_135,H_135,L_135,C_135,O_140,H_140,L_140,C_140,O_145,H_145,L_145,C_145,O_150,H_150,L_150,C_150,O_155,H_155,L_155,C_155,O_160,H_160,L_160,C_160,O_165,H_165,L_165,C_165,O_170,H_170,L_170,C_170,O_175,H_175,L_175,C_175,O_180,H_180,L_180,C_180
2021.02.03 08:15,174K,49K,Bad,1836.157,1836.666,1835.215,1835.237,1835.277,1836.255,1834.235,1836.195,1836.215,1837.955,1835.885,1837.295,1837.306,1838.488,1836.886,1837.606,1837.606,1837.916,1836.755,1837.565,1837.555,1839.266,1837.295,1838.121,1838.117,1838.702,1837.015,1837.112,1837.115,1838.076,1836.905,1837.375,1837.375,1837.785,1836.955,1836.965,1836.945,1837.97,1836.635,1837.655,1837.665,1837.835,1837.235,1837.235,1837.176,1839.456,1836.852,1839.308,1839.308,1839.508,1836.555,1839.292,1836.795,1839.489,1835.707,1839.292,1839.302,1842.202,1839.138,1839.642,1839.628,1839.998,1838.435,1838.502,1838.502,1839.835,1836.817,1837.801,1837.801,1837.808,1836.401,1836.795,1836.815,1837.135,1836.151,1836.805,1836.795,1838.275,1836.345,1837.055,1837.055,1839.005,1836.985,1838.045,1838.035,1838.81,1837.251,1837.597,1837.597,1837.957,1837.235,1837.465,1837.455,1839.945,1837.185,1838.664,1838.654,1839.058,1837.255,1837.465,1837.445,1837.8,1836.355,1837.695,1837.711,1838.505,1836.935,1838.015,1838.015,1840.422,1837.375,1840.167,1840.167,1840.655,1836.857,1837.327,1837.337,1838.157,1835.487,1835.797,1835.797,1835.837,1831.687,1833.785,1833.815,1835.112,1833.735,1834.565,1834.565,1836.798,1833.955,1836.007,1835.775,1836.232,1833.642,1834.245,1834.285,1835.237,1832.238,1832.912,1832.818,1833.635,1830.895,1833.485,1833.505,1834.498,1831.855,1832.035,1832.045,1833.215,1831.595,1832.395,1832.335,1833.585,1831.635,1832.105,1832.085,1834.03,1831.665,1833.623,1833.604,1834.285,1832.815,1832.825,1832.825,1832.945,1830.495,1831.695,1831.695,1833.047,1831.085,1832.485,1832.465,1832.635,1829.368,1832.045,1832.025,1833.735,1831.715,1833.495,1833.505,1836.305,1833.485,1835.505,1835.505,1835.595,1834.528,1835.298,1835.298,1836.075,1834.196,1834.43,1834.471,1834.708,1833.198,1833.402
2021.03.04 08:15,117K,177K,Good,1717.525,1719.714,1717.485,1719.284,1719.287,1720.014,1718.354,1718.854,1718.864,1720.084,1718.304,1719.804,1719.804,1719.964,1718.424,1718.424,1718.434,1719.564,1718.194,1718.244,1718.274,1719.396,1718.104,1718.769,1718.804,1720.165,1718.135,1718.495,1718.515,1719.019,1717.633,1717.993,1717.973,1719.014,1717.785,1718.603,1718.593,1723.104,1718.433,1719.874,1719.914,1720.034,1717.514,1717.774,1717.724,1719.014,1717.284,1718.871,1718.899,1720.504,1717.095,1716.464,1718.869,1718.869,1715.834,1716.464,1716.464,1716.474,1713.435,1714.494,1714.895,1717.577,1714.194,1714.874,1714.874,1717.525,1713.841,1717.248,1717.248,1718.565,1715.464,1715.654,1715.654,1715.704,1712.964,1714.274,1714.255,1715.835,1714.055,1715.285,1715.275,1715.963,1714.004,1715.818,1715.795,1717.278,1713.765,1715.898,1715.855,1717.428,1714.124,1714.641,1714.741,1715.644,1712.214,1714.884,1714.868,1715.448,1712.604,1715.065,1715.075,1716.395,1714.754,1715.435,1715.464,1715.568,1713.575,1714.024,1713.993,1717.398,1712.784,1716.605,1716.608,1717.228,1713.518,1713.958,1714.058,1714.808,1712.548,1713.328,1713.314,1715.268,1712.465,1712.954,1713.024,1717.098,1712.475,1716.824,1716.815,1716.844,1712.914,1714.555,1714.575,1716.198,1712.915,1714.374,1714.374,1714.914,1712.188,1713.165,1713.165,1713.818,1711.268,1711.848,1711.864,1713.404,1709.388,1710.028,1710.028,1715.714,1709.478,1714.545,1714.554,1718.554,1714.028,1717.754,1717.675,1718.609,1716.364,1717.285,1717.298,1719.734,1717.284,1719.734,1719.725,1719.885,1718.108,1719.048,1719.008,1720.378,1718.944,1719.354,1719.354,1719.854,1717.475,1718.795,1718.795,1721.154,1718.128,1718.619,1718.625,1721.124,1718.605,1720.668,1720.648,1722.254,1720.111,1720.748,1720.748,1720.748,1718.399,1718.758,1718.683,1719.734,1717.734,1717.864
2021.04.01 08:15,517K,525K,Good,1711.905,1712.635,1711.685,1712.635,1712.645,1713.155,1712.475,1713.135,1713.148,1714.325,1713.145,1713.498,1713.508,1713.828,1712.708,1712.878,1712.928,1713.888,1712.898,1713.738,1713.755,1714.118,1713.375,1714.068,1714.075,1714.798,1714.015,1714.508,1714.498,1715.368,1714.228,1715.368,1715.378,1717.258,1715.378,1716.818,1716.908,1718.058,1716.848,1717.068,1717.057,1717.82,1715.978,1716.668,1716.678,1717.818,1716.338,1716.338,1716.337,1716.488,1715.448,1718.818,1716.068,1718.818,1715.548,1718.818,1718.668,1718.828,1715.828,1716.158,1716.158,1718.888,1715.795,1718.188,1718.178,1719.048,1716.897,1717.548,1717.485,1718.038,1716.748,1717.688,1717.558,1718.668,1717.228,1718.378,1718.378,1720.098,1717.608,1718.468,1718.618,1719.57,1718.478,1718.648,1718.658,1724.918,1718.658,1724.445,1724.445,1725.298,1722.918,1724.108,1724.125,1724.518,1722.588,1723.268,1723.408,1723.908,1721.848,1721.868,1721.858,1722.858,1721.478,1722.558,1722.608,1724.358,1722.027,1724.215,1724.185,1725.125,1722.467,1723.138,1723.138,1725.178,1722.707,1724.825,1724.795,1725.498,1723.928,1724.238,1724.228,1724.908,1723.328,1723.925,1723.918,1727.198,1723.918,1727.158,1727.108,1728.018,1724.298,1724.558,1724.315,1726.858,1722.97,1723.338,1723.31,1723.598,1721.828,1723.028,1722.955,1723.525,1721.338,1723.055,1723.128,1724.705,1722.665,1723.528,1723.498,1724.768,1723.308,1724.008,1724.048,1726.608,1724.038,1726.218,1726.268,1727.478,1725.768,1727.398,1727.378,1728.248,1725.698,1725.898,1725.828,1727.728,1725.468,1727.618,1727.638,1728.058,1726.245,1726.605,1726.548,1728.388,1726.538,1727.668,1727.678,1729.238,1727.638,1728.618,1728.565,1729.728,1728.388,1729.415,1729.415,1729.475,1728.378,1728.388,1728.378,1729.578,1728.378,1729.578,1729.638,1729.868,1728.478,1728.628
2021.05.06 08:15,742K,800K,Good,1790.378,1791.668,1790.338,1791.245,1791.245,1792.468,1791.095,1792.405,1792.405,1793.175,1791.857,1791.968,1791.988,1792.928,1791.668,1792.355,1792.348,1792.978,1792.245,1792.575,1792.575,1793.708,1792.575,1793.415,1793.385,1794.308,1793.225,1794.148,1794.158,1794.298,1793.518,1793.648,1793.648,1794.455,1793.548,1793.658,1793.658,1794.948,1793.658,1794.478,1794.518,1794.948,1793.548,1794.748,1794.748,1794.748,1792.998,1793.308,1793.308,1794.968,1793.248,1795.498,1794.348,1796.058,1793.498,1795.498,1795.428,1796.438,1794.838,1795.578,1795.638,1796.158,1791.877,1793.668,1793.738,1794.378,1791.808,1793.768,1793.728,1794.668,1793.295,1793.558,1793.587,1795.267,1792.708,1794.558,1794.588,1795.828,1793.835,1794.318,1794.308,1795.838,1793.368,1793.608,1793.638,1795.868,1791.455,1791.965,1791.965,1793.255,1790.715,1791.858,1791.848,1793.528,1790.757,1793.308,1793.288,1793.468,1791.495,1792.035,1792.005,1793.895,1791.178,1793.785,1793.785,1794.178,1792.465,1793.168,1793.208,1797.168,1792.718,1796.798,1796.775,1807.098,1796.755,1806.482,1806.492,1808.307,1805.507,1806.748,1806.718,1810.165,1805.698,1810.115,1810.105,1812.268,1809.918,1811.478,1811.445,1813.048,1810.778,1812.628,1812.638,1813.865,1812.218,1813.448,1813.378,1813.648,1809.658,1810.178,1810.178,1813.797,1810.158,1811.095,1811.132,1812.347,1809.818,1810.148,1810.158,1812.992,1810.008,1812.738,1812.738,1813.298,1811.348,1811.462,1811.472,1812.428,1811.148,1811.655,1811.675,1813.218,1811.655,1812.685,1812.675,1813.485,1812.315,1812.515,1812.558,1814.058,1812.278,1813.887,1813.877,1815.348,1813.748,1814.428,1814.428,1815.448,1812.758,1815.435,1815.458,1815.858,1814.308,1814.501,1814.498,1815.372,1812.758,1814.388,1814.358,1814.945,1813.548,1814.598,1814.598,1814.878,1813.458,1813.665
2021.06.03 08:15,978K,650K,Bad,1895.458,1895.478,1892.163,1892.213,1892.193,1893.075,1891.593,1892.768,1892.795,1893.938,1892.488,1893.888,1893.898,1894.025,1892.858,1894.025,1894.025,1894.508,1893.428,1894.238,1894.245,1894.468,1893.122,1893.735,1893.725,1894.408,1893.595,1894.055,1894.055,1894.065,1892.145,1892.765,1892.765,1893.248,1892.125,1892.465,1892.385,1892.935,1891.315,1891.395,1891.358,1892.405,1889.745,1890.428,1890.438,1892.765,1890.128,1892.615,1892.575,1892.755,1889.181,1890.768,1891.168,1894.048,1890.148,1890.768,1890.768,1891.768,1887.558,1888.368,1888.378,1888.398,1884.345,1885.618,1885.598,1887.458,1884.778,1886.408,1886.308,1886.608,1884.298,1886.438,1886.518,1887.328,1883.465,1884.448,1884.438,1884.748,1882.818,1883.278,1883.295,1884.158,1882.008,1882.125,1882.125,1883.658,1879.328,1882.615,1882.608,1882.618,1879.618,1880.918,1880.938,1880.958,1876.328,1878.638,1878.648,1879.248,1877.115,1877.545,1877.538,1878.338,1875.508,1877.165,1877.185,1878.095,1875.558,1877.808,1877.805,1877.805,1873.058,1874.405,1874.405,1874.405,1866.063,1868.778,1868.718,1870.538,1866.568,1868.648,1868.628,1868.628,1865.398,1866.538,1866.478,1869.548,1865.185,1867.585,1867.628,1868.598,1866.603,1867.648,1867.628,1869.628,1865.308,1869.258,1869.065,1871.578,1868.668,1871.518,1871.548,1872.208,1870.318,1871.535,1871.535,1872.958,1870.858,1872.808,1872.818,1873.228,1870.855,1872.045,1872.078,1872.145,1870.398,1871.088,1871.048,1872.848,1870.668,1872.658,1872.648,1873.655,1872.288,1872.835,1872.805,1872.825,1871.558,1872.098,1872.098,1872.188,1870.568,1871.378,1871.418,1871.688,1869.678,1869.758,1869.928,1870.978,1869.188,1870.948,1870.968,1871.565,1869.378,1870.718,1870.728,1873.268,1870.108,1872.728,1872.748,1872.878,1871.178,1871.315,1871.325,1871.768,1870.488,1871.068
2021.07.01 08:15,692K,600K,Bad,1777.558,1779.668,1777.518,1779.038,1779.038,1779.218,1777.018,1777.298,1777.298,1777.398,1775.858,1776.138,1776.158,1776.568,1774.958,1776.378,1776.358,1777.588,1776.148,1776.758,1776.738,1777.038,1775.668,1775.738,1775.758,1776.288,1775.028,1775.798,1775.788,1776.068,1775.008,1775.728,1775.708,1776.768,1775.408,1776.708,1776.728,1777.738,1776.658,1777.518,1777.528,1778.178,1777.088,1777.688,1777.638,1777.958,1777.098,1777.848,1777.958,1779.008,1777.698,1778.218,1777.768,1779.368,1776.448,1778.218,1778.148,1778.488,1776.488,1776.708,1776.668,1776.668,1772.398,1773.878,1773.918,1775.318,1772.368,1774.768,1774.808,1776.198,1774.038,1776.128,1776.128,1777.758,1775.498,1776.288,1776.288,1777.808,1775.808,1776.138,1776.168,1777.828,1776.108,1777.678,1777.908,1781.738,1777.158,1780.908,1780.978,1782.088,1780.698,1781.428,1781.458,1782.168,1778.978,1779.058,1779.028,1781.438,1777.248,1781.008,1781.068,1782.658,1780.738,1782.568,1782.528,1782.578,1779.688,1780.368,1780.368,1781.028,1779.278,1779.658,1779.648,1781.368,1779.198,1779.795,1779.685,1780.138,1777.908,1779.068,1779.048,1780.718,1778.688,1779.738,1779.798,1781.058,1779.318,1780.358,1780.368,1780.848,1779.555,1779.685,1779.695,1782.678,1778.775,1780.838,1780.848,1781.508,1779.918,1780.348,1780.388,1780.658,1775.518,1775.878,1775.878,1776.948,1774.928,1776.048,1776.068,1777.088,1776.038,1776.648,1776.648,1777.568,1776.087,1776.668,1776.658,1777.198,1775.478,1775.608,1775.498,1776.258,1774.228,1774.698,1774.708,1775.408,1772.778,1773.848,1773.838,1775.008,1773.438,1774.328,1774.338,1774.748,1773.568,1774.348,1774.408,1775.338,1773.728,1774.168,1774.078,1774.878,1773.698,1774.618,1774.638,1775.358,1774.488,1775.148,1775.148,1775.148,1770.318,1770.408,1770.408,1772.128,1768.318,1768.488
2021.08.04 08:15,330K,695K,Good,1813.808,1814.408,1813.728,1814.298,1814.318,1815.526,1814.298,1815.118,1815.158,1816.468,1815.158,1816.168,1816.238,1817.388,1815.958,1817.188,1817.158,1817.718,1817.158,1817.348,1817.358,1818.185,1817.008,1818.165,1818.165,1819.128,1818.008,1818.388,1818.368,1819.058,1817.808,1818.428,1818.468,1818.688,1817.688,1817.688,1817.698,1820.291,1817.698,1819.548,1819.558,1820.978,1819.558,1820.078,1820.078,1820.518,1818.618,1818.998,1819.008,1825.198,1819.008,1824.898,1823.658,1825.868,1823.346,1824.898,1824.898,1826.598,1824.038,1824.078,1824.056,1825.188,1823.928,1824.658,1824.493,1824.748,1822.938,1824.178,1824.208,1825.118,1823.398,1824.531,1824.551,1826.398,1824.008,1826.211,1826.208,1827.598,1826.008,1827.128,1827.098,1828.011,1826.368,1827.038,1827.058,1828.708,1826.408,1828.648,1828.658,1830.748,1828.538,1830.366,1830.366,1830.748,1828.768,1828.828,1828.848,1830.248,1828.828,1829.958,1829.958,1830.948,1829.878,1830.348,1830.348,1831.088,1829.848,1830.348,1830.288,1831.548,1830.038,1831.158,1831.158,1831.605,1828.918,1830.198,1830.218,1831.308,1829.945,1830.365,1830.325,1831.316,1829.598,1829.806,1829.748,1830.548,1828.328,1830.378,1830.396,1830.748,1828.688,1828.808,1828.098,1829.378,1822.288,1824.448,1824.438,1824.548,1819.598,1820.768,1820.798,1820.998,1816.858,1817.518,1817.558,1817.568,1814.008,1814.478,1814.378,1814.408,1810.658,1812.058,1812.108,1812.108,1809.818,1811.218,1811.238,1812.638,1808.975,1812.558,1812.618,1812.768,1811.428,1812.068,1812.048,1813.108,1811.288,1812.328,1812.298,1813.098,1810.548,1811.638,1811.598,1812.018,1809.828,1812.018,1812.008,1812.008,1809.608,1811.548,1811.568,1812.268,1810.098,1810.728,1810.688,1811.008,1808.688,1809.098,1809.048,1809.878,1806.698,1808.088,1808.098,1808.768,1807.188,1807.448
2021.09.02 08:15,374K,613K,Good,1814.955,1814.975,1814.598,1814.765,1814.755,1814.765,1813.948,1813.948,1813.948,1814.175,1813.045,1814.055,1814.055,1814.855,1813.955,1814.765,1814.765,1815.225,1814.678,1814.835,1814.835,1815.545,1814.648,1815.405,1815.395,1815.475,1814.905,1815.225,1815.235,1815.944,1815.095,1815.404,1815.404,1815.554,1815.138,1815.404,1815.365,1816.195,1815.195,1816.145,1816.135,1816.245,1815.548,1815.645,1815.635,1815.815,1814.815,1815.115,1815.115,1815.235,1814.255,1812.385,1814.388,1815.335,1812.198,1812.385,1812.385,1813.325,1812.375,1812.765,1812.775,1812.845,1811.168,1811.778,1811.818,1811.865,1810.118,1810.335,1810.295,1811.578,1809.398,1811.268,1811.285,1812.805,1811.015,1811.915,1811.915,1812.705,1811.578,1812.485,1812.485,1813.695,1811.935,1813.695,1813.735,1813.755,1811.638,1811.925,1811.925,1812.605,1811.205,1811.965,1811.975,1812.585,1811.115,1811.328,1811.358,1812.425,1811.218,1811.488,1811.485,1812.045,1810.818,1811.675,1811.756,1812.565,1811.756,1812.245,1812.238,1812.555,1810.005,1812.095,1812.075,1812.075,1809.355,1809.715,1809.715,1810.775,1809.115,1810.315,1810.305,1813.001,1809.885,1812.695,1812.685,1812.875,1811.825,1812.125,1812.095,1813.495,1811.775,1812.445,1812.266,1812.825,1806.008,1807.355,1807.375,1808.608,1806.005,1807.865,1807.865,1808.194,1804.885,1805.918,1805.895,1807.055,1805.018,1805.685,1805.685,1808.265,1805.228,1808.125,1808.068,1808.775,1807.428,1807.775,1807.808,1808.684,1806.848,1807.285,1807.238,1811.478,1807.048,1811.368,1811.388,1813.508,1810.895,1812.918,1812.918,1813.335,1811.798,1811.955,1811.955,1812.635,1810.838,1812.058,1812.048,1813.238,1811.708,1812.468,1812.418,1813.288,1812.388,1812.878,1812.848,1812.888,1812.028,1812.028,1812.028,1812.768,1811.918,1812.418,1812.434,1812.668,1812.028,1812.478
2021.10.06 08:15,568K,425K,Bad,1751.635,1753.678,1751.625,1753.518,1753.518,1756.538,1753.368,1756.288,1756.288,1756.738,1755.758,1755.918,1755.915,1756.175,1753.958,1754.365,1754.385,1754.668,1753.565,1754.668,1754.668,1755.755,1754.588,1755.598,1755.565,1755.978,1754.285,1754.285,1754.295,1755.018,1753.258,1754.505,1754.545,1755.548,1754.155,1754.248,1754.268,1756.538,1754.268,1755.638,1755.638,1757.738,1755.258,1756.668,1756.668,1758.955,1756.665,1757.078,1757.008,1757.008,1753.388,1758.09,1754.788,1759.138,1754.788,1758.09,1758.09,1759.758,1757.018,1758.905,1758.905,1760.13,1758.505,1760.078,1760.045,1760.055,1757.885,1757.958,1757.968,1761.195,1757.905,1759.655,1759.618,1760.608,1759.028,1759.545,1759.545,1759.715,1758.365,1758.705,1758.788,1759.188,1756.148,1759.068,1759.088,1760.658,1758.055,1759.275,1759.305,1759.548,1757.308,1757.518,1757.375,1758.148,1756.338,1756.918,1756.908,1757.455,1756.008,1756.518,1756.558,1756.968,1754.818,1756.308,1756.268,1757.098,1755.488,1756.328,1756.233,1758.818,1756.138,1757.688,1757.688,1759.418,1757.308,1758.715,1758.708,1759.028,1756.548,1757.078,1757.188,1759.788,1757.078,1759.405,1759.455,1759.815,1757.688,1759.425,1759.378,1759.568,1758.025,1758.653,1758.708,1760.605,1758.545,1759.228,1759.248,1759.388,1757.438,1757.618,1757.618,1758.778,1757.208,1758.085,1758.095,1759.895,1758.01,1759.068,1759.068,1759.668,1757.818,1758.088,1758.085,1759.878,1757.495,1759.848,1759.918,1760.445,1758.475,1760.408,1760.458,1761.125,1759.468,1759.495,1759.495,1760.808,1759.295,1760.535,1760.538,1761.888,1760.095,1761.608,1761.608,1764.255,1761.608,1762.308,1762.318,1762.888,1759.798,1759.815,1759.815,1761.038,1758.628,1758.788,1758.795,1759.338,1756.458,1756.458,1756.478,1757.338,1755.868,1756.528,1756.528,1757.695,1755.685,1756.258
2021.11.04 08:15,571K,400K,Bad,1781.944,1783.084,1780.908,1782.434,1782.548,1785.088,1782.434,1784.658,1784.658,1785.184,1783.254,1783.478,1783.498,1789.114,1783.478,1787.964,1787.908,1788.114,1785.444,1787.834,1787.898,1788.874,1787.194,1787.988,1787.984,1790.074,1787.984,1789.604,1789.594,1792.068,1789.048,1791.538,1791.528,1792.838,1790.754,1792.514,1792.524,1792.594,1790.894,1792.354,1792.374,1792.948,1791.144,1791.964,1791.984,1793.174,1791.684,1792.784,1792.804,1793.214,1790.804,1792.914,1790.844,1793.104,1790.844,1792.914,1792.924,1792.994,1791.614,1792.068,1792.078,1793.364,1791.728,1791.974,1791.984,1793.224,1791.468,1792.014,1792.054,1794.814,1792.054,1794.514,1794.514,1794.614,1792.364,1792.464,1792.464,1793.254,1791.364,1793.064,1792.984,1795.874,1792.904,1795.674,1795.674,1798.214,1795.118,1797.578,1797.578,1798.014,1795.924,1796.614,1796.624,1797.614,1796.454,1796.534,1796.534,1798.654,1795.5,1795.764,1795.764,1797.434,1795.494,1797.264,1797.264,1798.804,1796.104,1798.314,1798.314,1798.314,1796.088,1797.128,1797.108,1797.834,1794.954,1796.864,1796.854,1798.174,1796.038,1796.108,1796.118,1797.318,1795.718,1796.614,1796.588,1797.948,1795.628,1796.424,1796.414,1797.844,1796.264,1796.834,1796.654,1797.038,1793.914,1795.814,1795.824,1796.644,1794.645,1795.274,1795.284,1796.104,1794.244,1794.588,1794.584,1795.924,1794.434,1795.914,1795.924,1795.924,1794.165,1794.624,1794.624,1795.324,1793.208,1793.794,1793.794,1794.024,1791.178,1791.654,1791.654,1793.074,1791.528,1792.168,1792.198,1794.034,1792.038,1793.554,1793.564,1793.714,1792.098,1792.318,1792.318,1792.884,1792.018,1792.305,1792.318,1792.738,1791.434,1792.148,1792.184,1793.084,1792.118,1792.988,1792.998,1793.708,1792.565,1792.928,1792.928,1792.994,1792.368,1792.398,1792.374,1792.918,1792.208,1792.664
