datetime,actual,forecast,good/bad,O_-60,H_-60,L_-60,C_-60,O_-55,H_-55,L_-55,C_-55,O_-50,H_-50,L_-50,C_-50,O_-45,H_-45,L_-45,C_-45,O_-40,H_-40,L_-40,C_-40,O_-35,H_-35,L_-35,C_-35,O_-30,H_-30,L_-30,C_-30,O_-25,H_-25,L_-25,C_-25,O_-20,H_-20,L_-20,C_-20,O_-15,H_-15,L_-15,C_-15,O_-10,H_-10,L_-10,C_-10,O_-5,H_-5,L_-5,C_-5,O_0,H_0,L_0,C_0,O_5,H_5,L_5,C_5,O_10,H_10,L_10,C_10,O_15,H_15,L_15,C_15,O_20,H_20,L_20,C_20,O_25,H_25,L_25,C_25,O_30,H_30,L_30,C_30,O_35,H_35,L_35,C_35,O_40,H_40,L_40,C_40,O_45,H_45,L_45,C_45,O_50,H_50,L_50,C_50,O_55,H_55,L_55,C_55,O_60,H_60,L_60,C_60,O_65,H_65,L_65,C_65,O_70,H_70,L_70,C_70,O_75,H_75,L_75,C_75,O_80,H_80,L_80,C_80,O_85,H_85,L_85,C_85,O_90,H_90,L_90,C_90,O_95,H_95,L_95,C_95,O_100,H_100,L_100,C_100,O_105,H_105,L_105,C_105,O_110,H_110,L_110,C_110,O_115,H_115,L_115,C_115,O_120,H_120,L_120,C_120,O_125,H_125,L_125,C_125,O_130,H_130,L_130,C_130,O_135,H_135,L_135,C_135,O_140,H_140,L_140,C_140,O_145,H_145,L_145,C_145,O_150,H_150,L_150,C_150,O_155,H_155,L_155,C_155,O_160,H_160,L_160,C_160,O_165,H_165,L_165,C_165,O_170,H_170,L_170,C_170,O_175,H_175,L_175,C_175,O_180,H_180,L_180,C_180
2021.01.14 08:30,965000,789000,bad,1842.268,1842.308,1838.216,1839.738,1839.768,1840.568,1839.265,1840.175,1840.165,1842.058,1840.065,1842.038,1842.025,1843.761,1841.652,1842.605,1842.622,1842.955,1842.068,1842.658,1842.708,1843.168,1840.248,1840.638,1840.682,1840.908,1839.258,1839.375,1839.365,1840.998,1839.005,1840.458,1840.408,1843.368,1840.308,1842.585,1842.535,1842.728,1841.315,1841.698,1841.568,1841.568,1839.498,1841.095,1841.008,1841.008,1839.485,1839.692,1839.618,1843.582,1839.618,1841.478,1840.945,1842.678,1840.575,1841.478,1841.445,1841.478,1837.408,1839.045,1839.025,1842.728,1838.658,1841.738,1841.746,1841.985,1839.898,1841.958,1841.938,1844.138,1841.578,1843.678,1843.668,1844.648,1842.878,1843.378,1843.378,1846.811,1843.178,1845.528,1845.528,1846.138,1844.428,1844.728,1844.778,1845.195,1843.045,1844.288,1844.295,1848.995,1844.295,1848.778,1848.778,1850.438,1848.085,1849.237,1849.249,1851.493,1848.828,1850.272,1850.258,1852.048,1848.468,1849.085,1849.085,1849.608,1845.728,1847.508,1847.508,1848.618,1846.578,1848.108,1848.058,1848.368,1846.555,1846.765,1846.788,1846.788,1843.888,1844.708,1844.618,1844.618,1841.768,1843.052,1843.038,1845.092,1842.838,1844.496,1844.475,1844.475,1841.205,1841.298,1841.348,1844.128,1841.318,1843.275,1843.285,1843.648,1841.322,1843.128,1843.128,1844.228,1842.168,1844.178,1844.178,1846.388,1843.272,1846.108,1846.292,1846.948,1845.465,1846.065,1846.118,1847.035,1845.075,1846.624,1846.622,1847.377,1845.238,1845.528,1845.578,1848.085,1845.058,1847.45,1847.454,1848.237,1846.825,1847.705,1847.665,1850.508,1847.295,1848.795,1848.855,1849.448,1848.342,1848.418,1848.418,1849.289,1847.905,1848.912,1848.902,1850.748,1848.432,1849.758,1849.768,1850.358,1848.568,1848.938,1849.008,1849.568,1848.428,1848.898,1849.04,1849.088,1846.228,1846.328
2021.01.21 08:30,900000,910000,good,1871.692,1872.135,1871.301,1872.001,1871.996,1872.247,1870.661,1871.625,1871.671,1871.855,1870.948,1870.961,1870.955,1872.305,1870.771,1871.825,1871.875,1872.165,1867.245,1868.435,1868.435,1868.791,1865.918,1867.087,1867.103,1868.603,1863.011,1867.238,1867.238,1869.555,1867.038,1868.455,1868.465,1869.765,1867.595,1868.105,1868.105,1869.408,1866.335,1868.885,1868.875,1869.415,1867.225,1869.331,1869.341,1870.535,1868.731,1869.121,1869.121,1869.771,1866.341,1868.355,1867.778,1868.85,1866.995,1868.355,1868.335,1869.067,1866.465,1866.465,1866.485,1867.303,1864.275,1865.825,1865.835,1866.195,1860.201,1860.385,1860.375,1862.911,1859.671,1860.835,1860.845,1861.971,1858.131,1861.185,1861.185,1864.107,1860.165,1863.645,1863.575,1864.825,1862.485,1864.165,1864.185,1865.461,1863.985,1864.895,1864.846,1867.075,1864.048,1866.805,1866.795,1868.005,1865.965,1867.165,1867.215,1867.215,1864.724,1867.125,1867.065,1867.661,1864.175,1864.765,1864.785,1866.485,1864.326,1864.955,1864.965,1864.975,1861.845,1863.515,1863.525,1863.615,1861.625,1863.575,1863.585,1864.495,1862.035,1864.145,1864.145,1864.165,1860.581,1861.995,1861.995,1864.365,1861.165,1864.125,1864.125,1866.413,1864.125,1865.181,1865.231,1866.345,1865.231,1865.555,1865.555,1866.855,1865.115,1866.595,1866.615,1866.685,1865.608,1865.698,1865.608,1865.964,1864.408,1864.641,1864.631,1865.705,1864.598,1865.625,1865.645,1866.851,1865.098,1866.621,1866.641,1866.898,1865.08,1865.731,1865.741,1865.951,1863.848,1863.851,1863.851,1864.251,1862.591,1863.985,1863.945,1864.935,1863.625,1864.165,1864.195,1864.407,1863.065,1864.067,1864.067,1864.735,1863.085,1864.385,1864.507,1865.657,1863.767,1865.065,1865.075,1865.785,1864.745,1865.115,1865.105,1865.435,1864.597,1865.025,1865.025,1865.347,1863.735,1863.867
2021.01.28 08:30,847000,875000,good,1840.025,1840.505,1839.035,1839.245,1839.245,1840.015,1839.245,1839.575,1839.595,1841.035,1839.365,1841.005,1841.005,1841.215,1840.236,1840.708,1840.708,1842.288,1840.628,1841.518,1841.518,1842.108,1839.975,1840.275,1840.275,1841.098,1839.175,1839.405,1839.435,1841.325,1837.816,1841.015,1840.895,1842.203,1839.738,1840.122,1840.127,1840.148,1838.138,1839.285,1839.225,1839.518,1838.182,1838.765,1838.755,1839.602,1838.178,1838.992,1838.876,1839.707,1837.506,1840.752,1839.065,1841.862,1838.125,1840.752,1840.852,1846.975,1840.068,1846.855,1846.865,1853.748,1846.865,1853.485,1853.475,1857.055,1853.425,1855.785,1855.825,1858.052,1855.265,1856.875,1856.915,1859.914,1856.736,1859.415,1859.485,1860.014,1856.778,1858.815,1858.775,1859.875,1858.118,1859.288,1859.284,1860.652,1856.258,1856.605,1856.605,1858.795,1856.225,1857.495,1857.488,1859.756,1856.405,1858.995,1858.955,1862.395,1857.395,1860.295,1860.265,1861.908,1859.714,1860.325,1860.315,1863.136,1859.415,1862.062,1862.062,1862.312,1858.745,1859.685,1859.715,1861.792,1859.618,1861.005,1860.985,1861.732,1853.207,1854.378,1854.508,1857.109,1852.616,1853.805,1853.815,1856.205,1853.735,1854.665,1854.685,1857.845,1854.665,1857.385,1857.375,1861.172,1857.375,1860.852,1860.845,1863.297,1860.388,1861.728,1861.702,1863.915,1859.515,1859.625,1859.618,1862.875,1859.618,1861.758,1861.792,1863.555,1861.538,1862.215,1862.205,1863.362,1860.098,1861.595,1861.605,1861.772,1859.845,1860.345,1860.345,1861.422,1858.762,1858.772,1858.782,1859.408,1857.263,1857.375,1857.369,1859.665,1855.755,1855.875,1855.875,1858.015,1855.545,1856.638,1856.645,1858.005,1855.265,1856.082,1856.122,1856.525,1854.745,1854.855,1854.865,1857.225,1854.665,1856.755,1856.765,1857.025,1853.805,1854.455,1854.475,1856.195,1854.155,1856.025
2021.02.04 08:30,779000,830000,good,1814.624,1814.721,1813.719,1814.048,1814.048,1816.075,1814.048,1816.005,1816.025,1817.885,1815.806,1817.785,1817.805,1818.127,1816.875,1817.326,1817.315,1817.548,1815.998,1816.228,1816.225,1816.922,1815.866,1816.732,1816.732,1817.715,1815.505,1817.535,1817.485,1819.275,1817.245,1818.406,1818.416,1819.303,1817.858,1818.518,1818.518,1819.485,1817.235,1819.125,1819.095,1819.095,1814.375,1815.225,1815.245,1815.585,1813.608,1814.055,1814.045,1814.172,1810.928,1813.215,1812.185,1813.575,1811.565,1813.215,1813.245,1813.545,1809.175,1809.825,1809.865,1810.789,1807.928,1810.192,1810.172,1810.778,1809.043,1810.675,1810.675,1810.745,1806.276,1808.286,1808.303,1808.492,1798.295,1800.018,1799.945,1801.745,1798.128,1798.73,1798.738,1799.026,1792.882,1794.922,1794.929,1797.033,1794.388,1796.605,1796.608,1796.899,1792.545,1793.455,1793.634,1795.364,1792.452,1794.915,1794.905,1795.045,1790.588,1792.976,1792.973,1794.255,1791.212,1791.848,1791.885,1792.215,1786.788,1788.188,1788.179,1790.935,1787.462,1790.655,1790.635,1791.238,1786.625,1786.645,1786.655,1788.208,1785.118,1785.745,1785.738,1791.085,1784.888,1791.065,1791.145,1795.445,1791.048,1795.355,1795.315,1795.315,1792.745,1792.998,1792.938,1794.315,1790.658,1791.215,1791.265,1791.265,1787.858,1787.928,1787.928,1790.395,1786.586,1790.385,1790.375,1790.745,1787.418,1790.595,1790.703,1792.585,1790.595,1791.605,1791.655,1792.465,1790.248,1791.735,1791.735,1791.735,1788.368,1788.635,1788.635,1789.005,1786.985,1788.405,1788.405,1788.495,1786.365,1786.465,1786.465,1787.715,1785.745,1787.435,1787.435,1789.165,1787.056,1788.965,1788.955,1789.755,1787.986,1789.735,1789.725,1790.245,1787.295,1787.555,1787.565,1788.923,1787.265,1788.555,1788.555,1788.675,1787.355,1787.927,1787.885,1789.165,1787.645,1788.545
2021.02.11 08:30,793000,757000,bad,1843.395,1843.715,1842.735,1843.285,1843.305,1843.475,1842.735,1842.915,1842.915,1843.275,1841.663,1841.895,1841.898,1842.575,1841.885,1842.525,1842.525,1842.545,1841.525,1841.695,1841.675,1843.245,1841.555,1843.225,1843.285,1844.837,1843.035,1843.308,1843.322,1844.705,1843.275,1843.602,1843.622,1845.385,1843.416,1845.175,1845.155,1846.204,1844.835,1845.822,1845.812,1847.402,1845.167,1846.722,1846.712,1847.112,1844.363,1844.363,1844.363,1845.792,1843.557,1843.345,1843.765,1843.905,1842.808,1843.345,1843.365,1844.795,1843.095,1843.775,1843.795,1844.175,1843.015,1843.285,1843.235,1844.462,1843.205,1844.252,1844.248,1844.362,1843.237,1843.282,1843.291,1843.476,1840.715,1841.055,1841.055,1842.475,1840.425,1841.995,1841.995,1842.775,1841.905,1842.595,1842.565,1843.495,1841.305,1842.705,1842.685,1843.299,1840.985,1841.887,1841.885,1842.926,1841.838,1842.542,1842.496,1844.227,1841.355,1841.595,1841.585,1842.105,1838.625,1841.775,1841.765,1842.422,1840.387,1840.965,1841.005,1843.556,1841.005,1843.082,1843.082,1843.472,1841.317,1841.716,1841.708,1843.442,1841.637,1842.287,1842.322,1842.498,1840.167,1840.832,1840.846,1842.135,1840.115,1840.805,1840.795,1841.572,1840.215,1840.895,1840.915,1840.925,1839.425,1839.655,1839.645,1841.235,1839.565,1841.115,1841.125,1841.165,1838.815,1839.335,1839.325,1840.025,1837.405,1839.955,1839.935,1841.475,1839.335,1841.277,1841.277,1842.055,1840.845,1840.885,1840.875,1841.475,1839.267,1839.285,1839.285,1840.445,1839.025,1839.335,1839.335,1839.915,1838.245,1838.465,1838.475,1839.195,1836.433,1836.885,1836.885,1837.815,1836.575,1836.855,1836.835,1837.275,1836.315,1836.705,1836.725,1837.675,1836.528,1837.645,1837.655,1837.925,1837.025,1837.815,1837.815,1837.995,1836.955,1837.115,1837.105,1837.195,1835.405,1835.478
2021.02.18 08:30,861000,765000,bad,1780.475,1781.715,1780.405,1781.255,1781.235,1782.425,1781.145,1782.155,1782.145,1782.975,1782.015,1782.835,1782.845,1784.795,1782.265,1784.495,1784.535,1785.355,1783.395,1783.555,1783.556,1784.145,1783.425,1784.055,1784.065,1785.065,1782.415,1783.325,1783.345,1789.465,1783.235,1787.331,1787.255,1787.261,1785.475,1786.265,1786.225,1786.415,1785.025,1785.145,1785.205,1785.205,1783.735,1784.095,1784.105,1784.158,1782.781,1784.058,1783.931,1785.195,1782.406,1783.765,1784.406,1784.555,1782.445,1783.765,1783.755,1783.985,1781.815,1782.465,1782.445,1784.385,1781.835,1783.995,1783.965,1784.545,1782.915,1784.295,1784.285,1787.135,1783.716,1785.975,1785.935,1786.035,1781.911,1782.345,1782.335,1782.435,1779.775,1780.085,1780.105,1781.935,1779.635,1780.975,1780.985,1782.485,1780.025,1780.985,1781.005,1782.395,1778.706,1781.535,1781.535,1782.765,1781.265,1781.525,1781.465,1783.525,1778.341,1783.165,1783.135,1784.665,1780.358,1780.358,1780.358,1780.358,1777.526,1778.955,1778.965,1779.005,1773.835,1774.945,1774.975,1775.835,1773.055,1773.325,1773.355,1775.825,1773.085,1775.685,1775.675,1775.675,1773.055,1773.385,1773.385,1774.435,1771.515,1772.755,1772.811,1775.065,1770.505,1772.175,1772.205,1772.968,1768.608,1771.225,1771.235,1771.315,1768.305,1769.565,1769.575,1773.285,1768.395,1772.058,1772.035,1776.29,1770.805,1775.298,1775.306,1777.316,1774.455,1777.236,1777.178,1777.375,1774.795,1775.498,1775.498,1778.245,1774.981,1777.775,1777.755,1779.295,1776.935,1778.825,1778.855,1779.265,1777.108,1778.256,1778.236,1779.815,1777.258,1779.805,1779.815,1780.045,1777.915,1778.055,1778.125,1778.255,1776.598,1777.885,1777.875,1779.621,1776.725,1778.611,1778.726,1779.785,1778.125,1778.195,1778.205,1778.575,1776.705,1776.935,1776.935,1776.935,1775.615,1775.955
2021.02.25 08:30,730000,838000,good,1789.261,1790.305,1788.565,1790.105,1790.125,1790.505,1787.635,1788.235,1788.345,1788.755,1787.565,1787.995,1788.005,1788.245,1786.315,1786.595,1786.585,1787.211,1785.895,1786.715,1786.745,1788.495,1786.735,1787.485,1787.525,1790.235,1785.355,1789.101,1789.091,1790.175,1788.055,1788.075,1788.055,1788.055,1784.335,1784.895,1784.905,1787.505,1783.875,1785.125,1785.165,1785.165,1782.695,1783.005,1783.005,1784.025,1781.225,1783.158,1783.158,1783.625,1779.149,1781.125,1781.055,1784.085,1780.235,1781.125,1781.105,1784.115,1780.0,1781.355,1781.345,1784.775,1779.975,1784.245,1784.235,1784.675,1781.615,1781.815,1781.815,1782.115,1779.015,1781.255,1781.255,1782.521,1778.955,1780.825,1780.815,1782.141,1778.195,1781.725,1781.725,1783.015,1779.415,1779.855,1779.865,1782.145,1779.711,1780.965,1780.925,1781.385,1778.831,1780.685,1780.685,1781.888,1779.795,1780.855,1780.855,1785.705,1779.655,1785.705,1785.731,1787.275,1784.015,1784.445,1784.445,1788.791,1784.441,1786.551,1786.601,1787.931,1784.301,1785.111,1785.081,1786.711,1783.021,1783.445,1783.441,1783.671,1780.845,1781.291,1781.195,1781.405,1776.555,1777.635,1777.535,1777.725,1773.958,1775.365,1775.405,1776.615,1773.955,1774.935,1774.925,1778.535,1772.945,1778.525,1778.505,1780.111,1775.725,1776.535,1776.565,1776.695,1773.248,1774.505,1774.525,1774.545,1772.215,1772.745,1772.755,1775.655,1770.475,1774.538,1774.535,1774.555,1771.315,1773.395,1773.385,1773.745,1769.698,1772.345,1772.345,1773.715,1770.695,1773.695,1773.655,1775.861,1773.235,1775.545,1775.545,1776.795,1774.235,1776.211,1776.225,1777.665,1775.138,1777.635,1777.655,1777.925,1775.725,1777.405,1777.385,1778.885,1776.305,1777.268,1777.268,1778.285,1776.461,1777.675,1777.695,1779.645,1777.665,1779.005,1779.005,1779.385,1777.655,1778.075
2021.03.04 08:30,745000,750000,good,1719.804,1719.964,1718.424,1718.424,1718.434,1719.564,1718.194,1718.244,1718.274,1719.396,1718.104,1718.769,1718.804,1720.165,1718.135,1718.495,1718.515,1719.019,1717.633,1717.993,1717.973,1719.014,1717.785,1718.603,1718.593,1723.104,1718.433,1719.874,1719.914,1720.034,1717.514,1717.774,1717.724,1719.014,1717.284,1718.871,1718.899,1720.504,1717.095,1718.829,1718.869,1718.869,1715.834,1716.464,1716.464,1716.474,1713.435,1714.494,1714.895,1717.577,1714.194,1717.248,1714.874,1717.525,1713.841,1717.248,1717.248,1718.565,1715.464,1715.654,1715.654,1715.704,1712.964,1714.274,1714.255,1715.835,1714.055,1715.285,1715.275,1715.963,1714.004,1715.818,1715.795,1717.278,1713.765,1715.898,1715.855,1717.428,1714.124,1714.641,1714.741,1715.644,1712.214,1714.884,1714.868,1715.448,1712.604,1715.065,1715.075,1716.395,1714.754,1715.435,1715.464,1715.568,1713.575,1714.024,1713.993,1717.398,1712.784,1716.605,1716.608,1717.228,1713.518,1713.958,1714.058,1714.808,1712.548,1713.328,1713.314,1715.268,1712.465,1712.954,1713.024,1717.098,1712.475,1716.824,1716.815,1716.844,1712.914,1714.555,1714.575,1716.198,1712.915,1714.374,1714.374,1714.914,1712.188,1713.165,1713.165,1713.818,1711.268,1711.848,1711.864,1713.404,1709.388,1710.028,1710.028,1715.714,1709.478,1714.545,1714.554,1718.554,1714.028,1717.754,1717.675,1718.609,1716.364,1717.285,1717.298,1719.734,1717.284,1719.734,1719.725,1719.885,1718.108,1719.048,1719.008,1720.378,1718.944,1719.354,1719.354,1719.854,1717.475,1718.795,1718.795,1721.154,1718.128,1718.619,1718.625,1721.124,1718.605,1720.668,1720.648,1722.254,1720.111,1720.748,1720.748,1720.748,1718.399,1718.758,1718.683,1719.734,1717.734,1717.864,1717.794,1718.524,1717.018,1717.058,1716.998,1718.664,1716.564,1718.494,1718.448,1718.544,1716.775,1716.785
2021.03.11 08:30,712000,725000,good,1730.574,1732.264,1730.574,1731.254,1731.264,1731.864,1730.768,1730.784,1730.784,1731.365,1730.495,1731.095,1731.085,1734.928,1730.938,1734.925,1734.925,1735.274,1733.695,1734.695,1734.698,1736.945,1734.615,1735.858,1735.735,1737.118,1734.345,1734.394,1734.415,1734.928,1733.795,1734.244,1734.244,1735.028,1732.508,1734.684,1734.684,1736.218,1734.398,1734.624,1734.624,1734.624,1732.865,1733.424,1733.424,1734.185,1732.985,1733.565,1733.555,1733.565,1730.644,1729.988,1731.288,1731.788,1729.104,1729.988,1730.048,1730.774,1728.478,1729.168,1729.168,1730.398,1727.248,1730.048,1730.048,1730.938,1728.178,1729.438,1729.438,1732.448,1729.388,1729.888,1729.878,1731.445,1728.805,1730.395,1730.405,1731.348,1729.008,1729.548,1729.508,1730.545,1728.098,1729.498,1729.498,1730.73,1728.875,1729.312,1729.304,1729.503,1725.224,1725.715,1725.695,1726.088,1722.512,1723.218,1723.268,1726.168,1722.015,1725.755,1725.748,1726.138,1722.998,1723.298,1723.294,1724.998,1719.348,1719.996,1720.008,1723.408,1719.115,1722.785,1722.785,1724.454,1722.585,1724.014,1724.014,1725.248,1722.735,1722.778,1722.778,1727.028,1722.524,1724.955,1724.955,1725.098,1723.668,1724.078,1724.078,1725.538,1722.054,1723.255,1723.285,1724.498,1719.628,1720.418,1720.398,1722.618,1720.008,1722.618,1722.598,1723.184,1722.064,1722.558,1722.564,1724.028,1722.344,1723.608,1723.548,1723.548,1722.035,1722.328,1722.318,1724.274,1722.025,1723.985,1724.005,1725.318,1723.105,1725.318,1725.265,1726.665,1725.145,1725.875,1725.895,1727.318,1724.985,1725.374,1725.374,1725.874,1723.108,1723.108,1723.118,1723.288,1721.024,1721.308,1721.364,1722.465,1720.958,1721.985,1721.965,1723.315,1721.855,1722.855,1722.855,1725.555,1722.595,1725.355,1725.355,1725.904,1723.658,1723.884,1723.909,1723.996,1722.155,1722.645
2021.03.18 08:30,770000,700000,bad,1728.808,1731.745,1726.228,1731.115,1731.105,1731.884,1729.458,1729.648,1729.708,1729.828,1726.564,1727.964,1728.004,1729.525,1727.345,1728.885,1728.865,1729.978,1728.145,1729.555,1729.555,1730.545,1728.605,1729.718,1729.728,1729.954,1727.148,1727.734,1727.734,1727.734,1721.624,1723.488,1723.458,1723.514,1721.343,1721.768,1721.768,1722.864,1720.865,1722.368,1722.394,1723.865,1721.945,1723.378,1723.355,1723.405,1719.268,1719.508,1719.518,1724.728,1719.115,1722.238,1722.958,1723.008,1720.144,1722.238,1722.308,1725.024,1722.308,1724.614,1724.614,1724.754,1720.285,1720.418,1720.418,1722.844,1719.668,1721.974,1721.974,1723.964,1721.234,1722.944,1722.974,1725.614,1721.384,1724.268,1724.268,1726.124,1723.958,1725.188,1725.169,1725.443,1723.165,1724.318,1724.318,1726.158,1722.164,1725.848,1725.828,1726.048,1724.099,1724.468,1724.415,1727.098,1723.975,1724.894,1724.884,1726.694,1723.408,1726.105,1726.105,1728.31,1725.384,1727.004,1727.024,1728.634,1726.043,1726.055,1726.045,1726.92,1725.385,1726.084,1726.08,1728.165,1725.264,1728.118,1728.108,1729.409,1727.654,1728.348,1728.358,1728.934,1726.559,1727.594,1727.594,1728.174,1727.375,1727.655,1727.655,1728.158,1727.005,1727.134,1727.134,1728.985,1726.884,1728.265,1728.285,1729.095,1727.395,1728.065,1728.075,1729.528,1727.794,1729.465,1729.474,1729.988,1728.555,1728.854,1728.854,1729.439,1728.345,1728.864,1728.884,1731.085,1728.824,1730.684,1730.684,1731.099,1729.364,1729.89,1729.848,1730.698,1729.459,1730.185,1730.165,1730.625,1728.815,1730.478,1730.488,1733.018,1730.455,1732.09,1732.089,1732.804,1731.725,1732.474,1732.498,1735.624,1732.474,1735.474,1735.474,1736.048,1734.178,1734.565,1734.565,1736.124,1734.545,1735.414,1735.414,1735.504,1734.014,1734.254,1734.274,1734.358,1733.404,1734.115
